,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
39,ZMO1_ZMO0019,ZCP4_1198,99.66,588,2,0,1,588,1,588,0.0,1191.0,588,1.0,<=>
40,ZMO1_ZMO0020,ZCP4_1197,100.0,198,0,0,1,198,1,198,4.64e-149,408.0,198,1.0,<=>
41,ZMO1_ZMO0021,ZCP4_1196,99.792,480,1,0,1,480,1,480,0.0,1001.0,480,1.0,<=>
42,ZMO1_ZMO0022,ZCP4_1195,99.595,247,1,0,1,247,1,247,0.0,515.0,247,1.0,<=>
43,ZMO1_ZMO0023,ZCP4_1194,100.0,158,0,0,1,158,1,158,9.570000000000001e-116,320.0,158,1.0,<=>
48,ZMO1_ZMO0025,ZCP4_1193,99.676,309,1,0,1,309,1,309,0.0,608.0,309,1.0,<=>
49,ZMO1_ZMO0026,ZCP4_1192,98.73,315,4,0,1,315,1,315,0.0,635.0,315,1.0,<=>
100,ZMO1_ZMO0027,ZCP4_1191,99.625,534,2,0,1,534,1,534,0.0,1077.0,534,1.0,<=>
101,ZMO1_ZMO0028,ZCP4_1190,96.743,307,10,0,1,307,1,307,0.0,610.0,307,1.0,<=>
102,ZMO1_ZMO0029,ZCP4_1189,99.051,632,6,0,1,632,1,632,0.0,1273.0,632,1.0,<=>
199,ZMO1_ZMO0031,ZCP4_1187,94.176,807,46,1,1,806,1,807,0.0,1548.0,806,1.001240694789082,<=>
207,ZMO1_ZMO0033,ZCP4_1186,100.0,144,0,0,1,144,1,144,8.52e-107,296.0,144,1.0,<=>
208,ZMO1_ZMO0035,ZCP4_1185,100.0,200,0,0,1,200,1,200,1.08e-148,407.0,200,1.0,<=>
209,ZMO1_ZMO0036,ZCP4_1184,99.107,112,1,0,1,112,1,112,1.89e-78,222.0,112,1.0,<=>
210,ZMO1_ZMO0037,ZCP4_1183,100.0,153,0,0,1,153,1,153,7.14e-112,310.0,153,1.0,<=>
211,ZMO1_ZMO0038,ZCP4_1182,99.5,200,1,0,1,200,1,200,4.1e-151,413.0,200,1.0,<=>
212,ZMO1_ZMO0039,ZCP4_1181,98.718,234,3,0,1,234,1,234,2.17e-176,480.0,234,1.0,<=>
213,ZMO1_ZMO0040,ZCP4_1180,98.985,197,2,0,1,197,1,197,1.1100000000000001e-144,397.0,197,1.0,<=>
214,ZMO1_ZMO0041,ZCP4_1179,100.0,293,0,0,1,293,1,293,0.0,597.0,293,1.0,<=>
215,ZMO1_ZMO0043,ZCP4_1178,98.485,198,3,0,1,198,1,198,4.19e-145,398.0,198,1.0,<=>
217,ZMO1_ZMO0044,ZCP4_1176,98.288,584,9,1,1,584,1,583,0.0,1180.0,585,0.9982905982905983,<=>
315,ZMO1_ZMO0047,ZCP4_1175,97.5,200,5,0,1,200,1,200,9.7e-141,387.0,201,0.9950248756218906,<=>
316,ZMO1_ZMO0050,ZCP4_1174,98.35,303,5,0,1,303,1,303,0.0,595.0,303,1.0,<=>
324,ZMO1_ZMO0052,ZCP4_1173,97.65,383,9,0,1,383,1,383,0.0,725.0,383,1.0,<=>
327,ZMO1_ZMO0053,ZCP4_1172,97.761,268,6,0,1,268,1,268,0.0,549.0,268,1.0,<=>
331,ZMO1_ZMO0054,ZCP4_1171,99.408,169,1,0,1,169,1,169,8.63e-124,342.0,169,1.0,<=>
332,ZMO1_ZMO0055,ZCP4_1170,100.0,261,0,0,1,261,1,261,0.0,496.0,261,1.0,<=>
333,ZMO1_ZMO0056,ZCP4_1169,99.671,607,2,0,1,607,1,607,0.0,1233.0,607,1.0,<=>
335,ZMO1_ZMO0057,ZCP4_1168,100.0,186,0,0,1,186,1,186,8.659999999999999e-140,383.0,186,1.0,<=>
336,ZMO1_ZMO0059,ZCP4_1167,99.215,382,3,0,1,382,1,382,0.0,747.0,382,1.0,<=>
337,ZMO1_ZMO0060,ZCP4_1166,100.0,89,0,0,1,89,1,89,5.85e-64,184.0,89,1.0,<=>
338,ZMO1_ZMO0061,ZCP4_1165,99.076,433,4,0,1,433,1,433,0.0,892.0,433,1.0,<=>
339,ZMO1_ZMO0062,ZCP4_1164,99.689,322,1,0,1,322,1,322,0.0,656.0,322,1.0,<=>
345,ZMO1_ZMO0064,ZCP4_1163,100.0,553,0,0,1,553,1,553,0.0,1145.0,553,1.0,<=>
347,ZMO1_ZMO0068,ZCP4_1162,99.733,375,1,0,1,375,1,375,0.0,757.0,375,1.0,<=>
417,ZMO1_ZMO0069,ZCP4_1161,99.31,145,1,0,1,145,1,145,1.21e-102,286.0,145,1.0,<=>
419,ZMO1_ZMO0070,ZCP4_1160,99.07,215,2,0,1,215,1,215,1.68e-161,441.0,215,1.0,<=>
423,ZMO1_ZMO0072,ZCP4_1159,99.779,453,1,0,1,453,1,453,0.0,929.0,453,1.0,<=>
425,ZMO1_ZMO0073,ZCP4_1158,100.0,294,0,0,1,294,1,294,0.0,585.0,294,1.0,<=>
427,ZMO1_ZMO0074,ZCP4_1157,100.0,176,0,0,1,176,1,176,1.38e-131,362.0,176,1.0,<=>
428,ZMO1_ZMO0075,ZCP4_1156,100.0,363,0,0,1,363,1,363,0.0,734.0,363,1.0,<=>
429,ZMO1_ZMO0077,ZCP4_1155,100.0,445,0,0,1,445,1,445,0.0,923.0,445,1.0,<=>
433,ZMO1_ZMO0078,ZCP4_1154,99.435,177,1,0,1,177,1,177,8.96e-130,357.0,177,1.0,<=>
434,ZMO1_ZMO0079,ZCP4_1153,100.0,121,0,0,1,121,1,121,1.24e-87,246.0,121,1.0,<=>
447,ZMO1_ZMO0080,ZCP4_1152,100.0,183,0,0,1,183,1,183,2.46e-138,379.0,183,1.0,<=>
448,ZMO1_ZMO0081,ZCP4_1151,100.0,352,0,0,1,352,1,352,0.0,715.0,352,1.0,<=>
458,ZMO1_ZMO0082,ZCP4_1150,100.0,290,0,0,1,290,1,290,0.0,610.0,290,1.0,<=>
459,ZMO1_ZMO0083,ZCP4_1149,99.356,776,5,0,1,776,1,776,0.0,1552.0,776,1.0,<=>
463,ZMO1_ZMO0084,ZCP4_1148,98.876,89,1,0,1,89,1,89,3.3e-61,177.0,89,1.0,<=>
464,ZMO1_ZMO0085,ZCP4_1147,100.0,437,0,0,1,437,1,437,0.0,882.0,437,1.0,<=>
467,ZMO1_ZMO0086,ZCP4_1146,99.858,705,1,0,17,721,1,705,0.0,1450.0,721,0.9778085991678225,<=>
468,ZMO1_ZMO0087,ZCP4_1145,98.75,160,2,0,1,160,1,160,3.25e-117,324.0,160,1.0,<=>
469,ZMO1_ZMO0088,ZCP4_1144,97.436,234,6,0,1,234,1,234,4.3499999999999997e-172,469.0,234,1.0,<=>
471,ZMO1_ZMO0090,ZCP4_1143,99.245,265,2,0,1,265,1,265,0.0,533.0,265,1.0,<=>
484,ZMO1_ZMO0092,ZCP4_1142,98.031,254,5,0,1,254,1,254,0.0,499.0,254,1.0,<=>
485,ZMO1_ZMO0094,ZCP4_1141,99.403,335,2,0,1,335,1,335,0.0,686.0,335,1.0,<=>
487,ZMO1_ZMO0095,ZCP4_1140,100.0,73,0,0,1,73,1,73,9.499999999999999e-48,142.0,73,1.0,<=>
488,ZMO1_ZMO0096,ZCP4_1139,100.0,183,0,0,1,183,1,183,1.1700000000000001e-130,360.0,183,1.0,<=>
489,ZMO1_ZMO0099,ZCP4_1138,99.526,422,2,0,1,422,1,422,0.0,850.0,422,1.0,<=>
490,ZMO1_ZMO0100,ZCP4_1137,98.413,126,2,0,1,126,1,126,1.47e-90,254.0,126,1.0,<=>
493,ZMO1_ZMO0101,ZCP4_1136,99.435,354,2,0,1,354,1,354,0.0,734.0,354,1.0,<=>
494,ZMO1_ZMO0103,ZCP4_1135,99.038,520,5,0,1,520,1,520,0.0,1073.0,520,1.0,<=>
496,ZMO1_ZMO0105,ZCP4_1134,100.0,484,0,0,1,484,1,484,0.0,992.0,484,1.0,<=>
498,ZMO1_ZMO0106,ZCP4_1133,99.479,192,1,0,1,192,1,192,1.44e-143,393.0,192,1.0,<=>
500,ZMO1_ZMO0107,ZCP4_1132,98.141,269,5,0,1,269,1,269,0.0,542.0,269,1.0,<=>
501,ZMO1_ZMO0108,ZCP4_1131,99.074,108,1,0,1,108,1,108,7.35e-73,208.0,108,1.0,<=>
505,ZMO1_ZMO0111,ZCP4_1128,99.164,598,5,0,1,598,1,598,0.0,1198.0,598,1.0,<=>
561,ZMO1_ZMO0112,ZCP4_1127,100.0,116,0,0,1,116,1,116,5.86e-86,241.0,116,1.0,<=>
562,ZMO1_ZMO0113,ZCP4_1126,99.589,487,2,0,1,487,1,487,0.0,1009.0,487,1.0,<=>
564,ZMO1_ZMO0114,ZCP4_1125,100.0,203,0,0,1,203,1,203,9e-153,417.0,203,1.0,<=>
568,ZMO1_ZMO0115,ZCP4_1124,99.281,278,2,0,1,278,1,278,0.0,560.0,278,1.0,<=>
570,ZMO1_ZMO0116,ZCP4_1123,100.0,145,0,0,1,145,1,145,8.94e-109,301.0,145,1.0,<=>
572,ZMO1_ZMO0117,ZCP4_1122,100.0,545,0,0,1,545,1,545,0.0,1122.0,545,1.0,<=>
573,ZMO1_ZMO0119,ZCP4_1121,99.485,388,2,0,1,388,1,388,0.0,745.0,388,1.0,<=>
574,ZMO1_ZMO0120,ZCP4_1120,99.437,355,2,0,1,355,1,355,0.0,729.0,355,1.0,<=>
575,ZMO1_ZMO0121,ZCP4_1117,99.332,449,3,0,1,449,1,449,0.0,919.0,449,1.0,<=>
579,ZMO1_ZMO0122,ZCP4_1116,100.0,95,0,0,1,95,16,110,6.65e-68,195.0,95,1.0,<=>
580,ZMO1_ZMO0124,ZCP4_1115,99.81,527,1,0,1,527,1,527,0.0,1073.0,527,1.0,<=>
581,ZMO1_ZMO0125,ZCP4_1114,99.363,157,1,0,1,157,1,157,1.64e-114,317.0,157,1.0,<=>
582,ZMO1_ZMO0127,ZCP4_1112,100.0,319,0,0,1,319,1,319,0.0,665.0,319,1.0,<=>
583,ZMO1_ZMO0128,ZCP4_1111,99.88,830,1,0,1,830,1,830,0.0,1701.0,830,1.0,<=>
590,ZMO1_ZMO0130,ZCP4_1110,99.621,264,1,0,1,264,1,264,0.0,549.0,264,1.0,<=>
592,ZMO1_ZMO0131,ZCP4_1109,100.0,314,0,0,1,314,1,314,0.0,657.0,314,1.0,<=>
593,ZMO1_ZMO0132,ZCP4_1108,98.162,272,5,0,1,272,1,272,0.0,547.0,272,1.0,<=>
634,ZMO1_ZMO0133,ZCP4_1107,99.145,234,2,0,7,240,1,234,4.879999999999999e-170,464.0,240,0.975,<=>
688,ZMO1_ZMO2040,ZCP4_1106,99.771,437,1,0,1,437,19,455,0.0,874.0,437,1.0,<=>
773,ZMO1_ZMO2041,ZCP4_1105,99.635,274,1,0,1,274,1,274,0.0,554.0,274,1.0,<=>
888,ZMO1_ZMO0135,ZCP4_1103,98.283,233,4,0,1,233,1,233,6.1899999999999995e-171,466.0,233,1.0,<=>
1092,ZMO1_ZMO0139,ZCP4_1099,100.0,276,0,0,1,276,1,276,0.0,563.0,276,1.0,<=>
1093,ZMO1_ZMO0140,ZCP4_1098,100.0,159,0,0,1,159,1,159,1.66e-119,330.0,159,1.0,<=>
1094,ZMO1_ZMO0142,ZCP4_1097,100.0,232,0,0,1,232,1,232,5.96e-174,473.0,232,1.0,<=>
1095,ZMO1_ZMO0143,ZCP4_1096,100.0,319,0,0,1,319,1,319,0.0,653.0,319,1.0,<=>
1127,ZMO1_ZMO0144,ZCP4_1095,99.623,530,2,0,1,530,1,530,0.0,1086.0,530,1.0,<=>
1128,ZMO1_ZMO0145,ZCP4_1094,98.923,557,6,0,1,557,1,557,0.0,1132.0,557,1.0,<=>
1129,ZMO1_ZMO0148,ZCP4_1093,100.0,268,0,0,1,268,1,268,0.0,547.0,268,1.0,<=>
1131,ZMO1_ZMO0149,ZCP4_1092,99.567,231,1,0,1,231,1,231,3.59e-175,476.0,231,1.0,<=>
1132,ZMO1_ZMO0150,ZCP4_1091,99.519,208,1,0,1,208,21,228,4.94e-156,427.0,208,1.0,<=>
1133,ZMO1_ZMO0152,ZCP4_1090,100.0,475,0,0,1,475,1,475,0.0,956.0,475,1.0,<=>
1134,ZMO1_ZMO2043,ZCP4_1089,100.0,79,0,0,1,79,1,79,6.05e-53,155.0,79,1.0,<=>
1136,ZMO1_ZMO0153,ZCP4_1088,100.0,249,0,0,1,249,1,249,0.0,506.0,249,1.0,<=>
1137,ZMO1_ZMO0154,ZCP4_1087,100.0,167,0,0,1,167,3,169,4.94e-120,332.0,167,1.0,<=>
1138,ZMO1_ZMO0155,ZCP4_1086,100.0,213,0,0,1,213,1,213,2.92e-157,430.0,213,1.0,<=>
1139,ZMO1_ZMO0156,ZCP4_1085,100.0,120,0,0,1,120,1,120,1.95e-87,246.0,120,1.0,<=>
1140,ZMO1_ZMO0157,ZCP4_1084,93.851,309,19,0,1,309,1,309,0.0,594.0,309,1.0,<=>
1144,ZMO1_ZMO0158,ZCP4_1083,99.712,347,1,0,1,347,1,347,0.0,685.0,347,1.0,<=>
1148,ZMO1_ZMO0160,ZCP4_1082,99.398,166,1,0,1,166,1,166,4.42e-125,344.0,166,1.0,<=>
1149,ZMO1_ZMO0161,ZCP4_1081,100.0,236,0,0,1,236,1,236,3.27e-174,474.0,236,1.0,<=>
1151,ZMO1_ZMO0162,ZCP4_1080,99.429,175,1,0,1,175,1,175,1.4599999999999999e-126,349.0,175,1.0,<=>
1154,ZMO1_ZMO0164,ZCP4_1079,99.721,359,1,0,1,359,1,359,0.0,729.0,359,1.0,<=>
1155,ZMO1_ZMO0165,ZCP4_1078,100.0,458,0,0,1,458,1,458,0.0,940.0,458,1.0,<=>
1156,ZMO1_ZMO0166,ZCP4_1077,100.0,176,0,0,1,176,1,176,1.51e-133,367.0,176,1.0,<=>
1174,ZMO1_ZMO0172,ZCP4_1074,99.669,604,2,0,1,604,1,604,0.0,1251.0,604,1.0,<=>
1175,ZMO1_ZMO0173,ZCP4_1072,97.744,133,3,0,1,133,1,133,2.8199999999999997e-90,254.0,133,1.0,<=>
1176,ZMO1_ZMO0174,ZCP4_1071,99.231,130,1,0,1,130,1,130,2.47e-94,264.0,130,1.0,<=>
1177,ZMO1_ZMO0175,ZCP4_1070,98.925,93,1,0,1,93,1,93,8.370000000000001e-63,181.0,93,1.0,<=>
1178,ZMO1_ZMO0176,ZCP4_1069,100.0,663,0,0,1,663,1,663,0.0,1367.0,663,1.0,<=>
1179,ZMO1_ZMO0177,ZCP4_1068,100.0,337,0,0,1,337,1,337,0.0,688.0,337,1.0,<=>
1180,ZMO1_ZMO0178,ZCP4_1067,100.0,397,0,0,1,397,1,397,0.0,785.0,397,1.0,<=>
1181,ZMO1_ZMO0179,ZCP4_1066,100.0,304,0,0,1,304,1,304,0.0,626.0,304,1.0,<=>
1182,ZMO1_ZMO0180,ZCP4_1065,99.735,377,1,0,1,377,1,377,0.0,758.0,377,1.0,<=>
1183,ZMO1_ZMO0182,ZCP4_1064,99.784,464,1,0,1,464,1,464,0.0,960.0,464,1.0,<=>
1184,ZMO1_ZMO0183,ZCP4_1063,100.0,560,0,0,1,560,1,560,0.0,1149.0,560,1.0,<=>
1237,ZMO1_ZMO0184,ZCP4_1062,100.0,79,0,0,1,79,1,79,5.9900000000000005e-50,148.0,79,1.0,<=>
1238,ZMO1_ZMO0186,ZCP4_1061,99.806,516,1,0,1,516,1,516,0.0,1066.0,516,1.0,<=>
1239,ZMO1_ZMO0187,ZCP4_1060,100.0,442,0,0,1,442,1,442,0.0,914.0,442,1.0,<=>
1240,ZMO1_ZMO0188,ZCP4_1058,99.492,788,4,0,1,788,1,788,0.0,1634.0,788,1.0,<=>
1249,ZMO1_ZMO0189,ZCP4_1057,99.779,453,1,0,1,453,1,453,0.0,924.0,453,1.0,<=>
1250,ZMO1_ZMO0190,ZCP4_1056,100.0,305,0,0,1,305,1,305,0.0,632.0,305,1.0,<=>
1251,ZMO1_ZMO0191,ZCP4_1055,99.228,259,2,0,1,259,1,259,0.0,531.0,259,1.0,<=>
1252,ZMO1_ZMO0192,ZCP4_1054,99.779,452,1,0,1,452,1,452,0.0,924.0,452,1.0,<=>
1253,ZMO1_ZMO0193,ZCP4_1053,100.0,912,0,0,1,912,1,912,0.0,1862.0,912,1.0,<=>
1254,ZMO1_ZMO0195,ZCP4_1050,100.0,339,0,0,1,339,1,339,0.0,679.0,339,1.0,<=>
1255,ZMO1_ZMO0197,ZCP4_1048,99.651,859,3,0,1,859,1,859,0.0,1782.0,859,1.0,<=>
1259,ZMO1_ZMO0198,ZCP4_1047,100.0,375,0,0,1,375,1,375,0.0,759.0,375,1.0,<=>
1261,ZMO1_ZMO0199,ZCP4_1046,99.539,217,1,0,1,217,1,217,2.42e-158,433.0,217,1.0,<=>
1262,ZMO1_ZMO0200,ZCP4_1045,100.0,341,0,0,1,341,1,341,0.0,692.0,341,1.0,<=>
1263,ZMO1_ZMO0201,ZCP4_1044,98.969,194,2,0,1,194,16,209,4.19e-146,400.0,194,1.0,<=>
1266,ZMO1_ZMO0202,ZCP4_1043,99.841,630,1,0,1,630,1,630,0.0,1269.0,630,1.0,<=>
1270,ZMO1_ZMO0203,ZCP4_1042,98.519,135,2,0,1,135,1,135,5.27e-99,277.0,149,0.9060402684563759,<=>
1271,ZMO1_ZMO0204,ZCP4_1041,97.129,209,6,0,1,209,1,209,2.89e-149,409.0,210,0.9952380952380953,<=>
1272,ZMO1_ZMO0205,ZCP4_1040,100.0,307,0,0,1,307,1,307,0.0,632.0,307,1.0,<=>
1274,ZMO1_ZMO0206,ZCP4_1039,99.748,397,1,0,1,397,1,397,0.0,804.0,397,1.0,<=>
1275,ZMO1_ZMO0207,ZCP4_1038,99.712,347,1,0,1,347,1,347,0.0,701.0,347,1.0,<=>
1280,ZMO1_ZMO0208,ZCP4_1037,99.01,202,2,0,1,202,1,202,2.4e-149,409.0,202,1.0,<=>
1281,ZMO1_ZMO0209,ZCP4_1036,100.0,89,0,0,1,89,1,89,8.97e-61,176.0,89,1.0,<=>
1282,ZMO1_ZMO0211,ZCP4_1035,100.0,124,0,0,1,124,1,124,8.45e-90,252.0,124,1.0,<=>
1283,ZMO1_ZMO0213,ZCP4_1034,98.934,1126,12,0,1,1126,1,1126,0.0,2260.0,1126,1.0,<=>
1286,ZMO1_ZMO0214,ZCP4_1033,99.587,484,2,0,1,484,1,484,0.0,960.0,484,1.0,<=>
1287,ZMO1_ZMO0215,ZCP4_1032,99.537,216,1,0,1,216,1,216,5.45e-159,434.0,216,1.0,<=>
1288,ZMO1_ZMO0216,ZCP4_1031,99.809,523,1,0,1,523,1,523,0.0,1078.0,523,1.0,<=>
1291,ZMO1_ZMO0219,ZCP4_1030,98.834,943,11,0,1,943,1,943,0.0,1898.0,943,1.0,<=>
1292,ZMO1_ZMO0220,ZCP4_1029,100.0,112,0,0,1,112,1,112,1e-81,231.0,112,1.0,<=>
1294,ZMO1_ZMO0221,ZCP4_1028,100.0,184,0,0,1,184,1,184,2.03e-135,372.0,184,1.0,<=>
1295,ZMO1_ZMO0222,ZCP4_1026,98.99,99,1,0,1,99,1,99,1.06e-69,199.0,99,1.0,<=>
1296,ZMO1_ZMO0223,ZCP4_1025,99.209,253,2,0,1,253,1,253,0.0,511.0,253,1.0,<=>
1297,ZMO1_ZMO0224,ZCP4_1024,99.535,215,1,0,1,215,1,215,2.62e-164,447.0,215,1.0,<=>
1298,ZMO1_ZMO0225,ZCP4_1023,100.0,373,0,0,1,373,1,373,0.0,777.0,373,1.0,<=>
1300,ZMO1_ZMO0226,ZCP4_1022,99.197,249,2,0,1,249,1,249,0.0,517.0,249,1.0,<=>
1313,ZMO1_ZMO0227,ZCP4_1021,99.023,921,9,0,1,921,1,921,0.0,1873.0,921,1.0,<=>
1314,ZMO1_ZMO0228,ZCP4_1020,99.806,515,1,0,1,515,1,515,0.0,1010.0,515,1.0,<=>
1315,ZMO1_ZMO0229,ZCP4_1019,98.827,341,4,0,1,341,1,341,0.0,649.0,341,1.0,<=>
1317,ZMO1_ZMO0230,ZCP4_1018,99.234,261,2,0,1,261,1,261,0.0,528.0,261,1.0,<=>
1348,ZMO1_ZMO0231,ZCP4_1017,100.0,182,0,0,1,182,1,182,7.46e-138,378.0,182,1.0,<=>
1349,ZMO1_ZMO0232,ZCP4_1016,100.0,249,0,0,1,249,1,249,0.0,499.0,249,1.0,<=>
1352,ZMO1_ZMO0233,ZCP4_1014,99.219,128,1,0,1,128,1,128,2.5e-95,266.0,128,1.0,<=>
1353,ZMO1_ZMO0234,ZCP4_1013,100.0,524,0,0,1,524,1,524,0.0,1047.0,524,1.0,<=>
1354,ZMO1_ZMO0236,ZCP4_1012,98.246,342,6,0,1,342,1,342,0.0,681.0,342,1.0,<=>
1359,ZMO1_ZMO0238,ZCP4_1011,100.0,184,0,0,1,184,1,184,2.51e-133,367.0,184,1.0,<=>
1360,ZMO1_ZMO0239,ZCP4_1010,100.0,509,0,0,1,509,1,509,0.0,1033.0,509,1.0,<=>
1364,ZMO1_ZMO0240,ZCP4_1009,100.0,298,0,0,1,298,1,298,0.0,609.0,298,1.0,<=>
1365,ZMO1_ZMO0241,ZCP4_1008,100.0,484,0,0,1,484,1,484,0.0,976.0,484,1.0,<=>
1369,ZMO1_ZMO0242,ZCP4_1007,100.0,88,0,0,1,88,1,88,5.98e-62,179.0,88,1.0,<=>
1370,ZMO1_ZMO0243,ZCP4_1006,100.0,278,0,0,1,278,1,278,0.0,563.0,278,1.0,<=>
1371,ZMO1_ZMO0244,ZCP4_1005,100.0,91,0,0,1,91,1,91,1.44e-63,183.0,91,1.0,<=>
1374,ZMO1_ZMO0246,ZCP4_1004,100.0,184,0,0,1,184,1,184,1.25e-133,367.0,184,1.0,<=>
1375,ZMO1_ZMO0247,ZCP4_1003,99.767,430,1,0,1,430,1,430,0.0,862.0,430,1.0,<=>
1381,ZMO1_ZMO0249,ZCP4_1002,100.0,55,0,0,1,55,1,55,6.1100000000000005e-37,113.0,55,1.0,<=>
1382,ZMO1_ZMO0250,ZCP4_1001,99.167,120,1,0,1,120,1,120,2.5200000000000003e-86,243.0,120,1.0,<=>
1394,ZMO1_ZMO0251,ZCP4_1000,100.0,152,0,0,1,152,33,184,2.65e-108,302.0,152,1.0,<=>
1395,ZMO1_ZMO0252,ZCP4_0999,95.053,2729,117,6,258,2984,168,2880,0.0,5024.0,2984,0.914544235924933,<=>
1397,ZMO1_ZMO0253,ZCP4_0998,99.593,491,2,0,1,491,1,491,0.0,996.0,491,1.0,<=>
1401,ZMO1_ZMO0254,ZCP4_0997,99.86,715,1,0,1,715,1,715,0.0,1441.0,715,1.0,<=>
1431,ZMO1_ZMO0255,ZCP4_0996,98.982,393,4,0,1,393,1,393,0.0,800.0,393,1.0,<=>
1432,ZMO1_ZMO0256,ZCP4_0995,99.652,574,2,0,1,574,1,574,0.0,1195.0,574,1.0,<=>
1433,ZMO1_ZMO0257,ZCP4_0994,100.0,225,0,0,1,225,1,225,7.1e-166,452.0,225,1.0,<=>
1445,ZMO1_ZMO0258,ZCP4_0993,99.794,485,1,0,1,485,1,485,0.0,976.0,485,1.0,<=>
1452,ZMO1_ZMO0260,ZCP4_0992,97.738,221,5,0,1,221,1,221,2.17e-158,433.0,221,1.0,<=>
1484,ZMO1_ZMO0262,ZCP4_0991,99.005,201,2,0,15,215,1,201,7.229999999999999e-134,370.0,215,0.9348837209302325,<=>
1493,ZMO1_ZMO0264,ZCP4_0989,97.065,477,14,0,1,477,1,477,0.0,946.0,477,1.0,<=>
1501,ZMO1_ZMO0265,ZCP4_0988,95.588,476,20,1,1,476,1,475,0.0,934.0,476,1.0,<=>
1517,ZMO1_ZMO0267,ZCP4_0990,95.905,464,19,0,1,464,1,464,0.0,919.0,475,0.9768421052631578,<=>
1525,ZMO1_ZMO0268,ZCP4_0986,99.578,474,2,0,1,474,1,474,0.0,971.0,474,1.0,<=>
1533,ZMO1_ZMO0269,ZCP4_0984,86.709,474,62,1,1,473,1,474,0.0,814.0,473,1.0021141649048626,<=>
1541,ZMO1_ZMO0270,ZCP4_0983,99.578,474,2,0,20,493,1,474,0.0,969.0,493,0.9614604462474645,<=>
1549,ZMO1_ZMO2001,ZCP4_0982,100.0,155,0,0,1,155,1,155,1.08e-111,310.0,155,1.0,<=>
1550,ZMO1_ZMO0271,ZCP4_0981,97.599,583,14,0,1,583,1,583,0.0,1151.0,583,1.0,<=>
1551,ZMO1_ZMO0273,ZCP4_0980,100.0,391,0,0,1,391,1,391,0.0,796.0,391,1.0,<=>
1552,ZMO1_ZMO0274,ZCP4_0979,99.8,499,1,0,1,499,1,499,0.0,1021.0,499,1.0,<=>
1553,ZMO1_ZMO0275,ZCP4_0978,100.0,260,0,0,1,260,1,260,0.0,524.0,260,1.0,<=>
1585,ZMO1_ZMO0276,ZCP4_0977,100.0,198,0,0,1,198,1,198,2.08e-149,409.0,198,1.0,<=>
1586,ZMO1_ZMO0277,ZCP4_0976,98.585,212,3,0,1,212,1,212,1.62e-156,428.0,212,1.0,<=>
1587,ZMO1_ZMO0278,ZCP4_0975,100.0,209,0,0,1,209,9,217,5.96e-159,434.0,209,1.0,<=>
1590,ZMO1_ZMO0279,ZCP4_0974,100.0,258,0,0,1,258,34,291,1.2e-175,481.0,258,1.0,<=>
1592,ZMO1_ZMO0281,ZCP4_0973,100.0,215,0,0,1,215,1,215,5.89e-164,447.0,215,1.0,<=>
