,imodulon,GO_term,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size
18,8,tyrosine catabolic process,3.7141790642624754e-06,0.0205282676881787,0.16666666666666666,1.0,0.2857142857142857,2.0,2.0,12.0
19,8,aromatic amino acid family catabolic process,1.1130073504802285e-05,0.030757958130521113,0.16666666666666666,0.6666666666666666,0.26666666666666666,2.0,4.0,12.0
20,8,L-phenylalanine catabolic process,2.2235247869716488e-05,0.040964738325307684,0.16666666666666666,0.5,0.25,2.0,14.0,12.0
21,8,branched-chain amino acid catabolic process,7.756251847337202e-05,0.08573760792046543,0.16666666666666666,0.2857142857142857,0.2105263157894737,2.0,7.0,12.0
22,8,tryptophan catabolic process,7.756251847337202e-05,0.08573760792046543,0.16666666666666666,0.2857142857142857,0.2105263157894737,2.0,18.0,12.0
23,10,cellular_component,2.0548363737170836e-18,1.1357080637534321e-14,0.6341463414634146,0.050682261208576995,0.09386281588447652,26.0,514.0,41.0
24,10,biological_process,1.315026722425261e-12,3.6340763474222087e-09,0.6097560975609756,0.03128911138923655,0.059523809523809534,25.0,799.0,41.0
25,10,molecular_function,2.4347612017170057e-10,4.485641720629964e-07,0.7073170731707317,0.0204369274136716,0.03972602739726028,29.0,1419.0,41.0
26,11,biological_process,6.345862857009883e-07,0.0035073584010693625,0.5909090909090909,0.016270337922403004,0.03166869671132765,13.0,799.0,22.0
27,11,cellular_component,5.10064173372472e-06,0.014095623431148264,0.45454545454545453,0.01949317738791423,0.037383177570093455,10.0,514.0,22.0
28,12,structural constituent of cell wall,9.438191757333185e-36,5.216488584278051e-32,0.45454545454545453,0.5555555555555556,0.5,20.0,53.0,44.0
29,12,fungal-type cell wall,3.2450892735763465e-26,5.978536138352156e-23,0.45454545454545453,0.22727272727272727,0.30303030303030304,20.0,143.0,44.0
30,12,fungal-type cell wall organization,2.5912910152272627e-26,5.978536138352156e-23,0.4772727272727273,0.2,0.2818791946308725,21.0,167.0,44.0
31,12,biological_process,1.3086724027778905e-12,1.8082580925383502e-09,0.5909090909090909,0.03254067584480601,0.06168446026097272,26.0,799.0,44.0
32,12,molecular_function,6.761700301181386e-11,7.474383512925905e-08,0.7045454545454546,0.021846370683579985,0.04237867395762133,31.0,1419.0,44.0
33,12,extracellular region,1.5182629890893394e-08,1.3985732567827965e-05,0.20454545454545456,0.09782608695652174,0.1323529411764706,9.0,153.0,44.0
34,12,cellular_component,4.5673522429283506e-08,3.6062508352378565e-05,0.38636363636363635,0.03313840155945419,0.06104129263913824,17.0,514.0,44.0
35,13,iron ion transmembrane transport,2.295105303534846e-24,1.2685047012637093e-20,0.2641509433962264,0.6086956521739131,0.368421052631579,14.0,38.0,53.0
36,13,monoatomic ion transport,1.2564836703898136e-21,3.4722926231222495e-18,0.3584905660377358,0.1958762886597938,0.2533333333333333,19.0,102.0,53.0
37,13,intracellular iron ion homeostasis,5.870513024297755e-20,1.0815441828431232e-16,0.2641509433962264,0.35,0.30107526881720426,14.0,63.0,53.0
38,13,siderophore transport,2.5653605673469934e-12,3.5446869639317083e-09,0.11320754716981132,0.8571428571428571,0.2,6.0,9.0,53.0
39,13,iron ion transport,1.647791349334769e-10,1.8214685575546538e-07,0.11320754716981132,0.5454545454545454,0.1875,6.0,22.0,53.0
40,13,ferric-chelate reductase (NADPH) activity,9.487496186560505e-10,8.739565237186653e-07,0.09433962264150944,0.7142857142857143,0.16666666666666669,5.0,7.0,53.0
41,13,ferric-chelate reductase activity,5.6163159708870014e-09,4.4344826244417795e-06,0.09433962264150944,0.5555555555555556,0.16129032258064518,5.0,35.0,53.0
42,13,fungal-type vacuole,6.4938965685178966e-09,4.486470791774802e-06,0.2641509433962264,0.0611353711790393,0.09929078014184398,14.0,287.0,53.0
43,13,copper ion import,2.0317591536868953e-08,1.24772587138083e-05,0.09433962264150944,0.45454545454545453,0.15625,5.0,15.0,53.0
44,13,siderophore transmembrane transport,2.7656156592870868e-08,1.3895961589890662e-05,0.07547169811320754,0.8,0.13793103448275862,4.0,6.0,53.0
45,13,siderophore-iron transmembrane transporter activity,2.7656156592870868e-08,1.3895961589890662e-05,0.07547169811320754,0.8,0.13793103448275862,4.0,9.0,53.0
46,13,metal ion binding,3.999954811623382e-07,0.00018423125203202029,0.3584905660377358,0.03156146179401993,0.05801526717557252,19.0,671.0,53.0
47,13,plasma membrane,5.683930849915571e-07,0.00022700580165685417,0.3018867924528302,0.03686635944700461,0.06570841889117042,16.0,1006.0,53.0
48,13,membrane,5.750101724617258e-07,0.00022700580165685417,0.5660377358490566,0.020463847203274217,0.03949967083607637,30.0,2450.0,53.0
49,13,high-affinity iron permease complex,6.635780869435219e-07,0.0002344760284690592,0.05660377358490566,1.0,0.10714285714285715,3.0,8.0,53.0
50,13,copper ion transport,6.787798906287221e-07,0.0002344760284690592,0.07547169811320754,0.4444444444444444,0.12903225806451613,4.0,11.0,53.0
51,13,vacuolar membrane,7.414002986469183e-07,0.00024104232062479515,0.18867924528301888,0.06493506493506493,0.09661835748792272,10.0,169.0,53.0
52,13,transmembrane transport,9.223217976427848e-07,0.000283204031976204,0.20754716981132076,0.05555555555555555,0.08764940239043825,11.0,352.0,53.0
53,13,siderophore-dependent iron import into cell,2.6376087543970917e-06,0.000767266504502775,0.05660377358490566,0.75,0.10526315789473685,3.0,5.0,53.0
54,13,oxidoreductase activity,3.2570716642628693e-06,0.0009000917544190439,0.20754716981132076,0.04888888888888889,0.07913669064748202,11.0,597.0,53.0
55,13,iron ion transmembrane transporter activity,1.3022652639719416e-05,0.0032716455063513277,0.05660377358490566,0.5,0.1016949152542373,3.0,10.0,53.0
56,13,zinc ion transmembrane transport,1.3022652639719416e-05,0.0032716455063513277,0.05660377358490566,0.5,0.1016949152542373,3.0,6.0,53.0
57,13,zinc ion transmembrane transporter activity,2.264635121012794e-05,0.00544201665819031,0.05660377358490566,0.42857142857142855,0.1,3.0,14.0,53.0
58,13,zinc ion transport,3.600640428849967e-05,0.007960295860101508,0.05660377358490566,0.375,0.09836065573770493,3.0,16.0,53.0
59,13,metal ion transmembrane transporter activity,3.600640428849967e-05,0.007960295860101508,0.05660377358490566,0.375,0.09836065573770493,3.0,8.0,53.0
60,13,transition metal ion transport,7.754755682657071e-05,0.015874272095572454,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0
61,13,arsenate ion transmembrane transport,7.754755682657071e-05,0.015874272095572454,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0
62,13,metal ion transport,0.00010410344204559051,0.020549275863784956,0.05660377358490566,0.2727272727272727,0.09375,3.0,13.0,53.0
63,13,transition metal ion transmembrane transporter activity,0.0002313155143079636,0.04408554646827982,0.03773584905660377,0.6666666666666666,0.07142857142857142,2.0,3.0,53.0
64,13,copper ion binding,0.0002799345054139477,0.05157326704742963,0.05660377358490566,0.2,0.08823529411764706,3.0,31.0,53.0
65,13,ferrous iron transmembrane transporter activity,0.0004599934198621168,0.07944948848681,0.03773584905660377,0.5,0.07017543859649122,2.0,5.0,53.0
66,13,response to copper ion,0.0004599934198621168,0.07944948848681,0.03773584905660377,0.5,0.07017543859649122,2.0,4.0,53.0
67,13,4 iron,0.000581360869873366,0.09450533905264982,0.05660377358490566,0.15789473684210525,0.08333333333333333,3.0,29.0,53.0
68,13, 4 sulfur cluster binding,0.000581360869873366,0.09450533905264982,0.05660377358490566,0.15789473684210525,0.08333333333333333,3.0,30.0,53.0
69,15,structural constituent of cell wall,3.0653372268002503e-09,1.6942118852524984e-05,0.17073170731707318,0.19444444444444445,0.18181818181818182,7.0,53.0,41.0
70,15,fungal-type cell wall organization,5.907298130455468e-06,0.016324818383513687,0.17073170731707318,0.06666666666666667,0.0958904109589041,7.0,167.0,41.0
71,15,fungal-type cell wall,2.586891631535926e-05,0.04765916682499688,0.14634146341463414,0.06818181818181818,0.09302325581395347,6.0,143.0,41.0
72,15,biological_process,3.642342840034785e-05,0.05032807219218064,0.3902439024390244,0.02002503128911139,0.0380952380952381,16.0,799.0,41.0
73,16,mitochondrial translation,2.4931725861434706e-38,1.3779764883614963e-34,0.4461538461538462,0.3411764705882353,0.3866666666666667,29.0,122.0,65.0
74,16,structural constituent of ribosome,4.6831220494111616e-26,1.2941807783547745e-22,0.4307692307692308,0.15217391304347827,0.22489959839357432,28.0,658.0,65.0
75,16,ribosome,7.499690445232348e-26,1.3816929696933064e-22,0.4307692307692308,0.1497326203208556,0.22222222222222224,28.0,446.0,65.0
76,16,mitochondrial large ribosomal subunit,3.327979502327933e-24,4.598435677341622e-21,0.26153846153846155,0.425,0.3238095238095238,17.0,80.0,65.0
77,16,mitochondrion,3.8509764034725886e-22,4.2568693163985995e-19,0.6923076923076923,0.04782146652497343,0.08946322067594432,45.0,3157.0,65.0
78,16,ribonucleoprotein complex,1.4006094819922836e-20,1.2901947678285587e-17,0.4307692307692308,0.0975609756097561,0.15909090909090912,28.0,306.0,65.0
79,16,mitochondrial small ribosomal subunit,4.967478698222002e-15,3.9221792521532866e-12,0.16923076923076924,0.36666666666666664,0.23157894736842105,11.0,55.0,65.0
80,16,translation,5.527390317747316e-10,3.818735785773677e-07,0.24615384615384617,0.07511737089201878,0.11510791366906477,16.0,399.0,65.0
81,18,cellular bud scar,1.4772522652570763e-12,8.16477327007586e-09,0.2608695652173913,0.5,0.3428571428571428,6.0,15.0,23.0
82,18,extracellular region,9.58416728919676e-10,1.7657230869130168e-06,0.34782608695652173,0.08695652173913043,0.1391304347826087,8.0,153.0,23.0
83,18,fungal-type cell wall,6.678558818189939e-10,1.7657230869130168e-06,0.34782608695652173,0.09090909090909091,0.14414414414414412,8.0,143.0,23.0
84,18,septum digestion after cytokinesis,1.5722602870136782e-09,2.1724706515811496e-06,0.21739130434782608,0.3333333333333333,0.26315789473684204,5.0,17.0,23.0
85,18,cell wall organization,1.3518862818880064e-08,1.4943750959990024e-05,0.30434782608695654,0.08641975308641975,0.1346153846153846,7.0,84.0,23.0
86,18,glucosidase activity,9.95769482318464e-07,0.0009172696547956918,0.13043478260869565,0.5,0.20689655172413793,3.0,8.0,23.0
87,18,cellular bud neck,1.3213234552124693e-06,0.0010432792481370455,0.30434782608695654,0.044585987261146494,0.07777777777777777,7.0,278.0,23.0
88,18,polysaccharide catabolic process,2.774137207589089e-06,0.001916582043293112,0.13043478260869565,0.375,0.19354838709677416,3.0,8.0,23.0
89,18,cell cycle,2.6683870907274105e-05,0.016386861611611552,0.30434782608695654,0.02834008097165992,0.05185185185185186,7.0,252.0,23.0
90,18,cellular bud neck split septin rings,0.0001413760606643538,0.07813854872918835,0.08695652173913043,0.4,0.14285714285714285,2.0,5.0,23.0
91,19,allantoin catabolic process,5.2285804060543187e-11,2.8898363904262217e-07,0.06976744186046512,0.8571428571428571,0.12903225806451613,6.0,14.0,86.0
92,19,transmembrane transporter activity,1.1931559692386566e-09,3.2972865209910277e-06,0.1511627906976744,0.13,0.13978494623655913,13.0,237.0,86.0
93,19,transmembrane transport,1.4925273845923765e-08,2.062299713660516e-05,0.18604651162790697,0.08080808080808081,0.11267605633802817,16.0,352.0,86.0
94,19,purine nucleobase metabolic process,1.1407204628626734e-08,2.062299713660516e-05,0.05813953488372093,0.7142857142857143,0.10752688172043011,5.0,8.0,86.0
95,19,plasma membrane,1.1736593503533654e-07,0.00012973630458806102,0.2558139534883721,0.05069124423963134,0.08461538461538462,22.0,1006.0,86.0
96,19,amino acid transmembrane transport,4.685164771118907e-07,0.00036992722414248857,0.06976744186046512,0.2727272727272727,0.11111111111111109,6.0,22.0,86.0
97,19,nitrogen compound transport,4.0640376324029973e-07,0.00036992722414248857,0.05813953488372093,0.4166666666666667,0.10204081632653061,5.0,12.0,86.0
98,19,amino acid transport,6.040198455959009e-07,0.0003709352985120604,0.08139534883720931,0.19444444444444445,0.11475409836065575,7.0,66.0,86.0
99,19,nitrogen utilization,5.924071451742412e-07,0.0003709352985120604,0.046511627906976744,0.6666666666666666,0.08695652173913045,4.0,6.0,86.0
100,19,amino acid transmembrane transporter activity,1.4892332409389834e-06,0.0006331532402053662,0.05813953488372093,0.3333333333333333,0.09900990099009901,5.0,20.0,86.0
101,19,ammonium transmembrane transport,1.3670737325915841e-06,0.0006331532402053662,0.046511627906976744,0.5714285714285714,0.08602150537634408,4.0,28.0,86.0
102,19,ammonium transmembrane transporter activity,1.3670737325915841e-06,0.0006331532402053662,0.046511627906976744,0.5714285714285714,0.08602150537634408,4.0,25.0,86.0
103,19,organic substance transport,1.4892332409389834e-06,0.0006331532402053662,0.05813953488372093,0.3333333333333333,0.09900990099009901,5.0,15.0,86.0
104,19,cellular_component,8.0023898562463e-06,0.0031592291953909503,0.2441860465116279,0.04093567251461988,0.07011686143572621,21.0,514.0,86.0
105,19,basic amino acid transport,9.729273058394901e-05,0.03584912812916574,0.03488372093023256,0.42857142857142855,0.06451612903225806,3.0,9.0,86.0
106,19,malate synthase activity,0.0002056867345436265,0.06687238716603669,0.023255813953488372,1.0,0.04545454545454545,2.0,14.0,86.0
107,19,tryptophan transport,0.0002056867345436265,0.06687238716603669,0.023255813953488372,1.0,0.04545454545454545,2.0,4.0,86.0
108,19,amino acid metabolic process,0.00028990124860472227,0.08901578894657222,0.046511627906976744,0.17391304347826086,0.07339449541284404,4.0,34.0,86.0
109,19,basic amino acid transmembrane transporter activity,0.00032325933680934203,0.09403443971290702,0.03488372093023256,0.3,0.0625,3.0,16.0,86.0
110,20,ergosterol biosynthetic process,3.171992446017868e-33,1.7531602249140758e-29,0.15,0.9130434782608695,0.2576687116564417,21.0,61.0,140.0
111,20,sterol biosynthetic process,7.782948882633591e-31,2.1508179237157927e-27,0.15,0.8076923076923077,0.25301204819277107,21.0,38.0,140.0
112,20,steroid metabolic process,4.602809373957252e-29,8.479909136620577e-26,0.1357142857142857,0.8636363636363636,0.23456790123456792,19.0,22.0,140.0
113,20,steroid biosynthetic process,1.0441643576382458e-26,1.4427741011666462e-23,0.12857142857142856,0.8181818181818182,0.2222222222222222,18.0,23.0,140.0
114,20,oxidoreductase activity,3.109968643145766e-16,3.43775933813333e-13,0.22142857142857142,0.13777777777777778,0.16986301369863013,31.0,597.0,140.0
115,20,lipid metabolic process,9.538921300361735e-15,8.786936337849887e-12,0.16428571428571428,0.1796875,0.17164179104477612,23.0,145.0,140.0
116,20,respirasome,1.6464700484298272e-14,1.3000057082388079e-11,0.06428571428571428,0.9,0.11999999999999998,9.0,10.0,140.0
117,20,mitochondrial electron transport,7.0116519491809e-14,4.844175040390355e-11,0.08571428571428572,0.48,0.14545454545454545,12.0,64.0,140.0
118,20, ubiquinol to cytochrome c,6.684591672965594e-13,4.105082019608982e-10,0.05714285714285714,0.8888888888888888,0.10738255033557045,8.0,20.0,140.0
119,20,heme binding,8.579327051360596e-13,4.741794061287002e-10,0.07857142857142857,0.4782608695652174,0.1349693251533742,11.0,55.0,140.0
120,20,isoprenoid biosynthetic process,3.463466995719203e-11,1.7402347350309124e-08,0.05714285714285714,0.6666666666666666,0.10526315789473684,8.0,24.0,140.0
121,20,membrane,4.537219462778987e-11,2.089767664231622e-08,0.5,0.047748976807639835,0.08717310087173101,70.0,2450.0,140.0
122,20,mitochondrial respiratory chain complex III,1.5078437100513102e-10,5.95275156103828e-08,0.04285714285714286,1.0,0.0821917808219178,6.0,16.0,140.0
123,20,ubiquinol-cytochrome-c reductase activity,1.5078437100513102e-10,5.95275156103828e-08,0.04285714285714286,1.0,0.0821917808219178,6.0,13.0,140.0
124,20,mitochondrial inner membrane,7.661147020390827e-10,2.822877305446673e-07,0.15714285714285714,0.1111111111111111,0.13017751479289938,22.0,511.0,140.0
125,20, mevalonate pathway,3.916707805935395e-08,1.3529777527128079e-05,0.03571428571428571,0.8333333333333334,0.0684931506849315,5.0,16.0,140.0
126,20,mitochondrial respiratory chain complex IV,6.320284474908567e-08,1.9406784607122027e-05,0.04285714285714286,0.5454545454545454,0.07947019867549669,6.0,30.0,140.0
127,20, cytochrome c to oxygen,6.320284474908567e-08,1.9406784607122027e-05,0.04285714285714286,0.5454545454545454,0.07947019867549669,6.0,33.0,140.0
128,20,mitochondrial intermembrane space,7.15597052296959e-08,2.081634162129101e-05,0.07857142857142857,0.1896551724137931,0.1111111111111111,11.0,128.0,140.0
129,20,mitochondrion,3.1391547384229304e-07,8.675054119631768e-05,0.32857142857142857,0.048884165781083955,0.0851063829787234,46.0,3157.0,140.0
130,20,oxidative phosphorylation,7.768197069749162e-07,0.00020445154859287439,0.03571428571428571,0.5555555555555556,0.06711409395973154,5.0,9.0,140.0
131,20,iron ion binding,9.940649221775141e-07,0.00024973621931250546,0.04285714285714286,0.375,0.07692307692307691,6.0,29.0,140.0
132,20,endoplasmic reticulum,1.1045658460297543e-06,0.0002654319752611501,0.22857142857142856,0.05755395683453238,0.09195402298850575,32.0,1111.0,140.0
133,20,isopentenyl diphosphate biosynthetic process,1.4307960337230864e-06,0.00032404090087001665,0.02857142857142857,0.8,0.05517241379310345,4.0,11.0,140.0
134,20,electron transfer activity,1.5243465573765938e-06,0.00032404090087001665,0.03571428571428571,0.5,0.06666666666666667,5.0,23.0,140.0
135,20,cytochrome-c oxidase activity,1.5243465573765938e-06,0.00032404090087001665,0.03571428571428571,0.5,0.06666666666666667,5.0,21.0,140.0
136,20,farnesyl diphosphate biosynthetic process,4.214053944979713e-06,0.0008626324501445508,0.02857142857142857,0.6666666666666666,0.0547945205479452,4.0,10.0,140.0
137,20,proton transmembrane transport,4.406155703515135e-06,0.0008697436633331484,0.07142857142857142,0.14285714285714285,0.09523809523809523,10.0,99.0,140.0
138,20,aerobic respiration,5.560411510429194e-06,0.001059737738556626,0.05,0.22580645161290322,0.08187134502923978,7.0,31.0,140.0
139,20,endoplasmic reticulum membrane,1.6414891120304343e-05,0.003024170107397403,0.15,0.06521739130434782,0.09090909090909091,21.0,494.0,140.0
140,20,lipid droplet,2.054308109794403e-05,0.0036626325557527956,0.05714285714285714,0.1568627450980392,0.08376963350785341,8.0,152.0,140.0
141,20,mitochondrial outer membrane,5.157690052158794e-05,0.008908297786963016,0.07142857142857142,0.10869565217391304,0.08620689655172413,10.0,260.0,140.0
142,20,electron transport chain,0.00012245172579877035,0.020508808742115265,0.02142857142857143,0.6,0.041379310344827586,3.0,6.0,140.0
143,20,lipid biosynthetic process,0.0001766317962088831,0.028713056989602852,0.02857142857142857,0.3076923076923077,0.0522875816993464,4.0,13.0,140.0
144,20,cellular lipid metabolic process,0.0005464435503659752,0.07759908492850737,0.02857142857142857,0.23529411764705882,0.05095541401273885,4.0,22.0,140.0
145,20,deoxyribonucleoside monophosphate catabolic process,0.0005475600347768748,0.07759908492850737,0.014285714285714285,1.0,0.028169014084507043,2.0,2.0,140.0
146,20,arsenate ion transmembrane transport,0.0005475600347768748,0.07759908492850737,0.014285714285714285,1.0,0.028169014084507043,2.0,2.0,140.0
147,20,GMP 5'-nucleotidase activity,0.0005475600347768748,0.07759908492850737,0.014285714285714285,1.0,0.028169014084507043,2.0,2.0,140.0
148,20,5'-deoxynucleotidase activity,0.0005475600347768748,0.07759908492850737,0.014285714285714285,1.0,0.028169014084507043,2.0,6.0,140.0
149,20,metal ion binding,0.0006568731071845118,0.09076344158521993,0.19285714285714287,0.044850498338870434,0.07277628032345014,27.0,671.0,140.0
150,21,biological_process,1.6579205345624697e-10,9.16332679452677e-07,0.4909090909090909,0.03379224030037547,0.06323185011709602,27.0,799.0,55.0
151,21,molecular_function,9.169008089806597e-09,2.533855385618053e-05,0.6,0.023255813953488372,0.04477611940298507,33.0,1419.0,55.0
152,21,cellular_component,3.5142514359783763e-07,0.0006474422562217496,0.32727272727272727,0.03508771929824561,0.06338028169014084,18.0,514.0,55.0
153,22,carbohydrate metabolic process,2.665643607801448e-06,0.014733012220318604,0.07971014492753623,0.13253012048192772,0.09954751131221719,11.0,152.0,138.0
154,22,glycogen catabolic process,1.2138952406148313e-05,0.03354599497439086,0.021739130434782608,1.0,0.042553191489361694,3.0,6.0,138.0
155,22,ascospore formation,4.90959256848089e-05,0.05427063625198776,0.050724637681159424,0.16279069767441862,0.07734806629834254,7.0,45.0,138.0
156,22,water channel activity,4.7730792722506966e-05,0.05427063625198776,0.021739130434782608,0.75,0.04225352112676056,3.0,7.0,138.0
157,22,water transport,4.7730792722506966e-05,0.05427063625198776,0.021739130434782608,0.75,0.04225352112676056,3.0,4.0,138.0
158,22,fungal-type cell wall organization,0.00014122361742834795,0.07095844850240719,0.07246376811594203,0.09523809523809523,0.08230452674897121,10.0,167.0,138.0
159,22,glycolytic process,0.00011848502671406376,0.07095844850240719,0.036231884057971016,0.22727272727272727,0.0625,5.0,112.0,138.0
160,22,hexose metabolic process,0.00011730155007786265,0.07095844850240719,0.021739130434782608,0.6,0.04195804195804196,3.0,5.0,138.0
161,22,mannose metabolic process,0.00011730155007786265,0.07095844850240719,0.021739130434782608,0.6,0.04195804195804196,3.0,10.0,138.0
162,22,pentose-phosphate shunt,7.993998875300183e-05,0.07095844850240719,0.028985507246376812,0.36363636363636365,0.053691275167785234,4.0,45.0,138.0
163,22,plasma membrane,0.00013259521480913855,0.07095844850240719,0.16666666666666666,0.052995391705069124,0.08041958041958042,23.0,1006.0,138.0
164,23,amino acid transmembrane transport,2.6363804656770073e-10,1.457127483379682e-06,0.23076923076923078,0.2727272727272727,0.24999999999999994,6.0,22.0,26.0
165,23,nitrogen compound transport,8.14373185902931e-10,2.25052029924275e-06,0.19230769230769232,0.4166666666666667,0.2631578947368421,5.0,12.0,26.0
166,23,amino acid transmembrane transporter activity,3.060685118711205e-09,4.229101662779207e-06,0.19230769230769232,0.3333333333333333,0.2439024390243902,5.0,20.0,26.0
167,23,organic substance transport,3.060685118711205e-09,4.229101662779207e-06,0.19230769230769232,0.3333333333333333,0.2439024390243902,5.0,15.0,26.0
168,23,amino acid transport,6.609623538259171e-09,7.306277859191689e-06,0.23076923076923078,0.16666666666666666,0.1935483870967742,6.0,66.0,26.0
169,23,transmembrane transport,1.2002340215792465e-06,0.0011056155728780825,0.3076923076923077,0.04040404040404041,0.07142857142857144,8.0,352.0,26.0
170,23,transmembrane transporter activity,3.3604062086110484e-06,0.0026532807307133237,0.23076923076923078,0.06,0.09523809523809523,6.0,237.0,26.0
171,23,phenylalanine transport,1.828951811947425e-05,0.01123179629403713,0.07692307692307693,1.0,0.14285714285714288,2.0,2.0,26.0
172,23,tryptophan transport,1.828951811947425e-05,0.01123179629403713,0.07692307692307693,1.0,0.14285714285714288,2.0,4.0,26.0
173,23,plasma membrane,5.39607032306782e-05,0.029824080675595846,0.34615384615384615,0.020737327188940093,0.0391304347826087,9.0,1006.0,26.0
174,26,cell cycle,6.567538405764432e-06,0.018149392384330006,0.2647058823529412,0.03643724696356275,0.06405693950177935,9.0,252.0,34.0
175,26,positive regulation of mitotic spindle pole body separation,3.3506014631576363e-06,0.018149392384330006,0.08823529411764706,0.5,0.15,3.0,28.0,34.0
176,26,cell division,1.8396502582823203e-05,0.031389707865890404,0.20588235294117646,0.046052631578947366,0.07526881720430108,7.0,157.0,34.0
177,26,cellular bud neck,2.2717356877792945e-05,0.031389707865890404,0.20588235294117646,0.044585987261146494,0.07329842931937172,7.0,278.0,34.0
178,28,Dsc E3 ubiquitin ligase complex,2.7338002608879236e-07,0.0015109714041927555,0.15789473684210525,0.6,0.25,3.0,6.0,19.0
179,29,biological_process,1.489449841035574e-13,4.1160946357018086e-10,0.4144144144144144,0.057571964956195244,0.1010989010989011,46.0,799.0,111.0
180,29,cellular_component,1.0380503863549091e-13,4.1160946357018086e-10,0.3333333333333333,0.07212475633528265,0.11858974358974358,37.0,514.0,111.0
181,29,molecular_function,4.08230860452306e-12,7.52097321906632e-09,0.5405405405405406,0.042283298097251586,0.0784313725490196,60.0,1419.0,111.0
182,31,cytoplasmic translation,2.4902550511851128e-151,1.3763639667900117e-147,0.7479674796747967,0.7863247863247863,0.7666666666666666,92.0,166.0,123.0
183,31,ribosome,5.582600073739839e-143,1.5427515303780046e-139,0.8211382113821138,0.5401069518716578,0.6516129032258065,101.0,446.0,123.0
184,31,structural constituent of ribosome,1.621647434460746e-141,2.987615123421515e-138,0.8130081300813008,0.5434782608695652,0.6514657980456026,100.0,658.0,123.0
185,31,ribonucleoprotein complex,2.099804962858066e-118,2.9014055074291323e-115,0.8211382113821138,0.3519163763066202,0.49268292682926823,101.0,306.0,123.0
186,31,translation,1.787607840470448e-106,1.9760217068560332e-103,0.7154471544715447,0.4131455399061033,0.5238095238095237,88.0,399.0,123.0
187,31,cytosolic large ribosomal subunit,1.6472722230799774e-98,1.5174122628271727e-95,0.4796747967479675,0.8939393939393939,0.6243386243386244,59.0,126.0,123.0
188,31,cytosolic small ribosomal subunit,4.3191447587929747e-64,3.410273297406968e-61,0.34146341463414637,0.7924528301886793,0.4772727272727273,42.0,100.0,123.0
189,31,cytoplasm,5.519559094896218e-30,3.8133253896864245e-27,0.8211382113821138,0.051715309779825906,0.09730250481695568,101.0,4573.0,123.0
190,31,RNA binding,3.718194390191663e-27,2.2833844882877024e-24,0.37398373983739835,0.13813813813813813,0.20175438596491224,46.0,634.0,123.0
