# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_A_DZM0422_Aerobic_B_cds.txt" "Kiley_A_DZM0422_Aerobic_B.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_A_DZM0422_Aerobic_B.bam
ZMO1_ZMO0254	CP023715.1	255606	257753	+	2148	1196
ZMO1_ZMO0255	CP023715.1	257746	258927	+	1182	447
ZMO1_ZMO0256	CP023715.1	259049	260773	+	1725	17966
ZMO1_ZMO0257	CP023715.1	260996	261673	+	678	54739
ZMO1_ZMO0258	CP023715.1	261676	263133	+	1458	24557
ZMO1_ZMO0260	CP023715.1	263330	263995	+	666	1097
ZMO1_ZMO0262	CP023715.1	263992	264639	+	648	459
ZMO1_ZMO0263	CP023715.1	264645	266048	-	1404	2562
ZMO1_ZMO0264	CP023715.1	266103	267536	-	1434	4338
ZMO1_ZMO0265	CP023715.1	267591	269021	-	1431	2975
ZMO1_ZMO0266	CP023715.1	269076	270503	-	1428	3488
ZMO1_ZMO0267	CP023715.1	270558	271985	-	1428	3239
ZMO1_ZMO0268	CP023715.1	272040	273464	-	1425	2513
ZMO1_ZMO0269	CP023715.1	273519	274940	-	1422	3632
ZMO1_ZMO0270	CP023715.1	274995	276476	-	1482	9335
ZMO1_ZMO2001	CP023715.1	276463	276930	-	468	925
ZMO1_ZMO0271	CP023715.1	277112	278863	+	1752	4416
ZMO1_ZMO2047	CP023715.1	278860	279066	-	207	6
ZMO1_ZMO0273	CP023715.1	279056	280231	+	1176	85652
ZMO1_ZMO0274	CP023715.1	280306	281805	-	1500	6952
ZMO1_ZMO0275	CP023715.1	281853	282635	-	783	6092
ZMO1_ZMO0276	CP023715.1	282850	283446	-	597	8130
ZMO1_ZMO0277	CP023715.1	283452	284090	-	639	15377
ZMO1_ZMO0278	CP023715.1	284123	284752	-	630	38184
ZMO1_ZMO0279	CP023715.1	285024	285800	+	777	273602
ZMO1_ZMO0281	CP023715.1	286193	286840	-	648	2279
ZMO1_ZMO0282	CP023715.1	287065	288234	+	1170	29077
ZMO1_ZMO0283	CP023715.1	288238	291381	+	3144	46324
ZMO1_ZMO0285	CP023715.1	291381	292919	+	1539	18840
ZMO1_ZMO0286	CP023715.1	292966	293739	-	774	23704
ZMO1_ZMO0287	CP023715.1	294090	295238	+	1149	15668
ZMO1_ZMO0290	CP023715.1	295367	296623	+	1257	6038
ZMO1_ZMO0291	CP023715.1	296613	297470	-	858	4929
ZMO1_ZMO0293	CP023715.1	297731	299173	-	1443	38225
ZMO1_ZMO0294	CP023715.1	299858	300145	-	288	108341
ZMO1_ZMO0296	CP023715.1	300451	300933	+	483	569
ZMO1_ZMO0297	CP023715.1	301182	302507	+	1326	19702
ZMO1_ZMO0298	CP023715.1	302605	303303	-	699	17388
ZMO1_ZMO0299	CP023715.1	303462	304715	-	1254	23558
ZMO1_ZMO0300	CP023715.1	304714	306348	+	1635	8627
ZMO1_ZMO0301	CP023715.1	306494	307246	+	753	1445
ZMO1_ZMO0302	CP023715.1	307218	307514	-	297	440
ZMO1_ZMO0303	CP023715.1	307520	308524	-	1005	2383
ZMO1_ZMO0305	CP023715.1	308672	309145	-	474	2738
ZMO1_ZMO0306	CP023715.1	309239	310507	-	1269	6617
ZMO1_ZMO0307	CP023715.1	310535	312268	-	1734	5501
ZMO1_ZMO0309	CP023715.1	312601	313617	+	1017	5158
ZMO1_ZMO0311	CP023715.1	313683	314498	-	816	8340
ZMO1_ZMO0312	CP023715.1	314701	315843	+	1143	4219
ZMO1_ZMO0313	CP023715.1	315873	316355	+	483	1658
ZMO1_ZMO0314	CP023715.1	316394	317812	-	1419	9817
ZMO1_ZMO0315	CP023715.1	317877	318263	-	387	2398
ZMO1_ZMO0318	CP023715.1	318604	319359	+	756	8667
ZMO1_ZMO0319	CP023715.1	319432	319680	-	249	401
ZMO1_ZMO0321	CP023715.1	320294	320791	+	498	807
ZMO1_ZMO0322	CP023715.1	321130	322074	+	945	9974
ZMO1_ZMO0323	CP023715.1	322193	325018	+	2826	59879
ZMO1_ZMO0324	CP023715.1	325022	325546	+	525	3787
ZMO1_ZMO0325	CP023715.1	325631	326143	+	513	14777
ZMO1_ZMO0326	CP023715.1	326160	326603	-	444	5911
ZMO1_ZMO0327	CP023715.1	326798	328834	+	2037	39284
ZMO1_ZMO0328	CP023715.1	328990	329553	+	564	23295
ZMO1_ZMO0329	CP023715.1	329553	330368	+	816	35933
ZMO1_ZMO2048	CP023715.1	330354	330536	-	183	150
ZMO1_ZMO0331	CP023715.1	330814	331410	+	597	56051
ZMO1_ZMO0332	CP023715.1	331475	332191	-	717	8681
ZMO1_ZMO0335	CP023715.1	332580	333365	+	786	3756
ZMO1_ZMO0336	CP023715.1	333462	334136	+	675	3585
ZMO1_ZMO0339	CP023715.1	334277	335656	+	1380	48823
ZMO1_ZMO0341	CP023715.1	335843	336622	+	780	2963
ZMO1_ZMO0342	CP023715.1	336684	337886	-	1203	33188
ZMO1_ZMO0343	CP023715.1	338009	338680	-	672	4336
ZMO1_ZMO0344	CP023715.1	338983	340425	+	1443	20826
ZMO1_ZMO0345	CP023715.1	340714	341433	+	720	1475
ZMO1_ZMO0346	CP023715.1	341634	342983	+	1350	7495
ZMO1_ZMO0347	CP023715.1	343378	343863	+	486	7769
ZMO1_ZMO0348	CP023715.1	343860	345242	+	1383	15786
ZMO1_ZMO0349	CP023715.1	345263	345829	+	567	5262
ZMO1_ZMO0350	CP023715.1	345969	346595	+	627	3642
ZMO1_ZMO0351	CP023715.1	346818	352019	+	5202	10117
ZMO1_ZMO0352	CP023715.1	352178	353752	+	1575	9574
ZMO1_ZMO0353	CP023715.1	353797	355140	+	1344	12191
ZMO1_ZMO0354	CP023715.1	355278	357119	-	1842	6576
ZMO1_ZMO0355	CP023715.1	357377	358423	+	1047	28779
ZMO1_ZMO0356	CP023715.1	358454	359473	+	1020	11584
ZMO1_ZMO0357	CP023715.1	359487	360038	+	552	342
ZMO1_ZMO0359	CP023715.1	360166	362097	+	1932	8589
ZMO1_ZMO0360	CP023715.1	362109	363215	+	1107	2744
ZMO1_ZMO0361	CP023715.1	363840	364814	+	975	2412
ZMO1_ZMO0362	CP023715.1	364912	367134	+	2223	11207
ZMO1_ZMO0363	CP023715.1	367280	368467	+	1188	7522
ZMO1_ZMO0364	CP023715.1	368514	370709	+	2196	8716
ZMO1_ZMO0366	CP023715.1	371082	372503	+	1422	171246
ZMO1_ZMO0367	CP023715.1	372649	374106	+	1458	171080
ZMO1_ZMO0368	CP023715.1	374099	375922	+	1824	469789
ZMO1_ZMO0369	CP023715.1	376055	377029	+	975	233882
ZMO1_ZMO0371	CP023715.1	377532	378221	-	690	740
ZMO1_ZMO0372	CP023715.1	378393	378854	+	462	672
ZMO1_ZMO0373	CP023715.1	378851	379204	-	354	162
ZMO1_ZMO0374	CP023715.1	380042	381313	+	1272	1246
ZMO1_ZMO0375	CP023715.1	381469	382710	+	1242	703
ZMO1_ZMO0376	CP023715.1	383001	385427	-	2427	128446
ZMO1_ZMO0377	CP023715.1	385623	386243	+	621	797
ZMO1_ZMO0378	CP023715.1	386327	386833	+	507	181
ZMO1_ZMO0379	CP023715.1	386833	388119	+	1287	169
ZMO1_ZMO0380	CP023715.1	388162	390351	+	2190	770
ZMO1_ZMO0381	CP023715.1	390351	390650	+	300	268
ZMO1_ZMO0383	CP023715.1	390773	391624	+	852	207
ZMO1_ZMO0384	CP023715.1	391650	391757	+	108	44
ZMO1_ZMO0385	CP023715.1	391942	392061	+	120	461
ZMO1_ZMO0387	CP023715.1	392090	393004	+	915	419
ZMO1_ZMO0388	CP023715.1	393158	393484	+	327	207
ZMO1_ZMO0389	CP023715.1	393494	394153	+	660	122
ZMO1_ZMO0390	CP023715.1	394147	395568	+	1422	618
ZMO1_ZMO0391	CP023715.1	395565	395813	+	249	37
ZMO1_ZMO0392	CP023715.1	395792	396295	+	504	90
ZMO1_ZMO0393	CP023715.1	396296	396967	+	672	315
ZMO1_ZMO0394	CP023715.1	396980	397654	+	675	389
ZMO1_ZMO0395	CP023715.1	397834	398202	+	369	77
ZMO1_ZMO0397	CP023715.1	398199	398645	+	447	75
ZMO1_ZMO0398	CP023715.1	398650	399051	+	402	108
ZMO1_ZMO0399	CP023715.1	399056	400057	+	1002	758
ZMO1_ZMO0400	CP023715.1	400062	402716	+	2655	1953
ZMO1_ZMO0401	CP023715.1	402726	404777	-	2052	2558
ZMO1_ZMO0402	CP023715.1	404997	405662	-	666	3314
ZMO1_ZMO0403	CP023715.1	405659	406762	-	1104	9532
ZMO1_ZMO0405	CP023715.1	407713	410034	+	2322	68522
ZMO1_ZMO0406	CP023715.1	410124	410945	-	822	8040
ZMO1_ZMO0407	CP023715.1	411097	411789	+	693	40236
ZMO1_ZMO0408	CP023715.1	412024	413214	+	1191	65474
ZMO1_ZMO0409	CP023715.1	413245	414186	+	942	32005
ZMO1_ZMO0410	CP023715.1	414315	415238	+	924	8533
ZMO1_ZMO0411	CP023715.1	415313	417295	+	1983	13240
ZMO1_ZMO0412	CP023715.1	417491	418117	-	627	3505
ZMO1_ZMO0413	CP023715.1	418306	418632	-	327	6599
ZMO1_ZMO0414	CP023715.1	418656	419696	-	1041	23738
ZMO1_ZMO0416	CP023715.1	419902	420603	+	702	1261
ZMO1_ZMO0417	CP023715.1	420600	421475	+	876	2332
ZMO1_ZMO0418	CP023715.1	421507	422118	+	612	2865
ZMO1_ZMO0419	CP023715.1	422167	422919	+	753	1998
ZMO1_ZMO0420	CP023715.1	422968	423849	-	882	17754
ZMO1_ZMO0421	CP023715.1	423850	424959	-	1110	32384
ZMO1_ZMO0422	CP023715.1	425526	425933	+	408	1
ZMO1_ZMO0423	CP023715.1	425933	427405	+	1473	665010
ZMO1_ZMO0425	CP023715.1	427420	428172	+	753	146188
ZMO1_ZMO0426	CP023715.1	428169	429284	+	1116	214015
ZMO1_ZMO0427	CP023715.1	429281	430504	+	1224	306566
ZMO1_ZMO0428	CP023715.1	430501	430935	+	435	37608
ZMO1_ZMO0429	CP023715.1	430974	431315	+	342	56309
ZMO1_ZMO0430	CP023715.1	431440	432108	+	669	90152
ZMO1_ZMO0431	CP023715.1	432142	432972	+	831	107727
ZMO1_ZMO0432	CP023715.1	433040	433912	-	873	4755
ZMO1_ZMO0433	CP023715.1	434260	434910	-	651	12484
ZMO1_ZMO0435	CP023715.1	435064	435507	-	444	69554
ZMO1_ZMO0436	CP023715.1	435636	436034	-	399	1234
ZMO1_ZMO0437	CP023715.1	436192	436413	+	222	1911
ZMO1_ZMO0439	CP023715.1	436668	437792	+	1125	13815
ZMO1_ZMO0440	CP023715.1	437902	438192	+	291	4502
ZMO1_ZMO0441	CP023715.1	438219	438923	+	705	20667
ZMO1_ZMO0442	CP023715.1	438961	439596	+	636	12432
ZMO1_ZMO0443	CP023715.1	439680	440717	-	1038	68347
ZMO1_ZMO0444	CP023715.1	441046	442092	+	1047	14185
ZMO1_ZMO0445	CP023715.1	442089	443654	+	1566	16795
ZMO1_ZMO0446	CP023715.1	443686	445092	+	1407	11068
ZMO1_ZMO0447	CP023715.1	445110	445421	+	312	1479
ZMO1_ZMO0448	CP023715.1	445437	446087	-	651	70860
ZMO1_ZMO0449	CP023715.1	446920	447684	+	765	15212
ZMO1_ZMO0452	CP023715.1	447707	449191	+	1485	24368
ZMO1_ZMO0453	CP023715.1	449258	450622	+	1365	19863
ZMO1_ZMO0454	CP023715.1	450686	452359	-	1674	29815
ZMO1_ZMO0456	CP023715.1	452789	453106	+	318	740
ZMO1_ZMO0457	CP023715.1	453232	453726	+	495	2417
ZMO1_ZMO0458	CP023715.1	453723	454421	-	699	3292
ZMO1_ZMO0459	CP023715.1	454414	455664	-	1251	12084
ZMO1_ZMO0460	CP023715.1	455661	456992	-	1332	48976
ZMO1_ZMO0462	CP023715.1	457482	459116	-	1635	50045
ZMO1_ZMO0464	CP023715.1	459255	459614	-	360	8685
ZMO1_ZMO0465	CP023715.1	459863	460612	-	750	10386
ZMO1_ZMO0467	CP023715.1	460928	462856	+	1929	66140
ZMO1_ZMO0468	CP023715.1	462853	464403	+	1551	24456
ZMO1_ZMO0469	CP023715.1	464442	464873	-	432	23937
ZMO1_ZMO0471	CP023715.1	465127	466086	+	960	2716
ZMO1_ZMO0472	CP023715.1	466125	466805	-	681	16606
ZMO1_ZMO0473	CP023715.1	467015	467434	-	420	9570
ZMO1_ZMO0474	CP023715.1	467436	468575	-	1140	28905
ZMO1_ZMO0475	CP023715.1	468572	469192	-	621	9444
ZMO1_ZMO0476	CP023715.1	469281	470252	-	972	5611
ZMO1_ZMO0477	CP023715.1	470283	470633	-	351	2352
ZMO1_ZMO0478	CP023715.1	470815	471534	+	720	9653
ZMO1_ZMO0479	CP023715.1	471538	472890	+	1353	7636
ZMO1_ZMO0480	CP023715.1	472883	475174	+	2292	9343
ZMO1_ZMO0481	CP023715.1	475137	475718	-	582	2131
ZMO1_ZMO0482	CP023715.1	475730	476728	-	999	11829
ZMO1_ZMO0483	CP023715.1	476850	478142	-	1293	26884
