,gene_id,database,kegg_id
88,ZMO1_ZMO0026,KEGG_pathway,-
95,ZMO1_ZMO0027,KEGG_pathway,map00230
96,ZMO1_ZMO0027,KEGG_pathway,map00670
97,ZMO1_ZMO0027,KEGG_pathway,map01100
98,ZMO1_ZMO0027,KEGG_pathway,map01110
99,ZMO1_ZMO0027,KEGG_pathway,map01130
100,ZMO1_ZMO0027,KEGG_pathway,map01523
101,ZMO1_ZMO0028,KEGG_pathway,-
102,ZMO1_ZMO0029,KEGG_pathway,-
104,ZMO1_ZMO0030,KEGG_pathway,map00620
105,ZMO1_ZMO0031,KEGG_pathway,-
106,ZMO1_ZMO0033,KEGG_pathway,-
107,ZMO1_ZMO0035,KEGG_pathway,-
108,ZMO1_ZMO0036,KEGG_pathway,-
110,ZMO1_ZMO0037,KEGG_pathway,map02060
111,ZMO1_ZMO0038,KEGG_pathway,-
118,ZMO1_ZMO0039,KEGG_pathway,map00230
119,ZMO1_ZMO0039,KEGG_pathway,map00240
120,ZMO1_ZMO0039,KEGG_pathway,map01100
121,ZMO1_ZMO0039,KEGG_pathway,map03030
122,ZMO1_ZMO0039,KEGG_pathway,map03430
123,ZMO1_ZMO0039,KEGG_pathway,map03440
126,ZMO1_ZMO0040,KEGG_pathway,map00770
127,ZMO1_ZMO0040,KEGG_pathway,map01100
133,ZMO1_ZMO0041,KEGG_pathway,map00400
134,ZMO1_ZMO0041,KEGG_pathway,map01100
135,ZMO1_ZMO0041,KEGG_pathway,map01110
136,ZMO1_ZMO0041,KEGG_pathway,map01130
137,ZMO1_ZMO0041,KEGG_pathway,map01230
138,ZMO1_ZMO0043,KEGG_pathway,-
139,ZMO1_ZMO0044,KEGG_pathway,-
140,ZMO1_ZMO0047,KEGG_pathway,-
141,ZMO1_ZMO0050,KEGG_pathway,-
142,ZMO1_ZMO0052,KEGG_pathway,-
147,ZMO1_ZMO0053,KEGG_pathway,map00362
148,ZMO1_ZMO0053,KEGG_pathway,map01100
149,ZMO1_ZMO0053,KEGG_pathway,map01120
150,ZMO1_ZMO0053,KEGG_pathway,map01220
151,ZMO1_ZMO0054,KEGG_pathway,-
152,ZMO1_ZMO0055,KEGG_pathway,-
158,ZMO1_ZMO0056,KEGG_pathway,map00250
159,ZMO1_ZMO0056,KEGG_pathway,map00520
160,ZMO1_ZMO0056,KEGG_pathway,map01100
161,ZMO1_ZMO0056,KEGG_pathway,map01130
162,ZMO1_ZMO0056,KEGG_pathway,map04931
163,ZMO1_ZMO0057,KEGG_pathway,-
170,ZMO1_ZMO0059,KEGG_pathway,map00260
171,ZMO1_ZMO0059,KEGG_pathway,map00561
172,ZMO1_ZMO0059,KEGG_pathway,map00630
173,ZMO1_ZMO0059,KEGG_pathway,map01100
174,ZMO1_ZMO0059,KEGG_pathway,map01120
175,ZMO1_ZMO0059,KEGG_pathway,map01130
179,ZMO1_ZMO0061,KEGG_pathway,map00562
180,ZMO1_ZMO0061,KEGG_pathway,map00740
181,ZMO1_ZMO0061,KEGG_pathway,map01100
182,ZMO1_ZMO0062,KEGG_pathway,-
183,ZMO1_ZMO0064,KEGG_pathway,-
184,ZMO1_ZMO0068,KEGG_pathway,-
185,ZMO1_ZMO0069,KEGG_pathway,-
186,ZMO1_ZMO0070,KEGG_pathway,-
187,ZMO1_ZMO0072,KEGG_pathway,-
188,ZMO1_ZMO0073,KEGG_pathway,-
189,ZMO1_ZMO0074,KEGG_pathway,-
190,ZMO1_ZMO0075,KEGG_pathway,-
191,ZMO1_ZMO0077,KEGG_pathway,-
194,ZMO1_ZMO0078,KEGG_pathway,map02020
195,ZMO1_ZMO0078,KEGG_pathway,map02030
198,ZMO1_ZMO0079,KEGG_pathway,map02020
199,ZMO1_ZMO0079,KEGG_pathway,map02030
201,ZMO1_ZMO0080,KEGG_pathway,map02030
204,ZMO1_ZMO0081,KEGG_pathway,map02020
205,ZMO1_ZMO0081,KEGG_pathway,map02030
208,ZMO1_ZMO0082,KEGG_pathway,map02020
209,ZMO1_ZMO0082,KEGG_pathway,map02030
212,ZMO1_ZMO0083,KEGG_pathway,map02020
213,ZMO1_ZMO0083,KEGG_pathway,map02030
214,ZMO1_ZMO0084,KEGG_pathway,-
217,ZMO1_ZMO0085,KEGG_pathway,map02020
218,ZMO1_ZMO0085,KEGG_pathway,map02030
220,ZMO1_ZMO0086,KEGG_pathway,map00230
221,ZMO1_ZMO0090,KEGG_pathway,-
224,ZMO1_ZMO0094,KEGG_pathway,map00780
225,ZMO1_ZMO0094,KEGG_pathway,map01100
228,ZMO1_ZMO0096,KEGG_pathway,map00564
229,ZMO1_ZMO0096,KEGG_pathway,map01100
230,ZMO1_ZMO0099,KEGG_pathway,-
231,ZMO1_ZMO0100,KEGG_pathway,-
232,ZMO1_ZMO0101,KEGG_pathway,-
235,ZMO1_ZMO0103,KEGG_pathway,map01501
236,ZMO1_ZMO0103,KEGG_pathway,map02020
244,ZMO1_ZMO0105,KEGG_pathway,map00290
245,ZMO1_ZMO0105,KEGG_pathway,map00660
246,ZMO1_ZMO0105,KEGG_pathway,map00966
247,ZMO1_ZMO0105,KEGG_pathway,map01100
248,ZMO1_ZMO0105,KEGG_pathway,map01110
249,ZMO1_ZMO0105,KEGG_pathway,map01210
250,ZMO1_ZMO0105,KEGG_pathway,map01230
257,ZMO1_ZMO0106,KEGG_pathway,map00290
258,ZMO1_ZMO0106,KEGG_pathway,map00660
259,ZMO1_ZMO0106,KEGG_pathway,map01100
260,ZMO1_ZMO0106,KEGG_pathway,map01110
261,ZMO1_ZMO0106,KEGG_pathway,map01210
262,ZMO1_ZMO0106,KEGG_pathway,map01230
263,ZMO1_ZMO0107,KEGG_pathway,-
264,ZMO1_ZMO0108,KEGG_pathway,-
265,ZMO1_ZMO0109,KEGG_pathway,-
266,ZMO1_ZMO0110,KEGG_pathway,-
267,ZMO1_ZMO0111,KEGG_pathway,-
268,ZMO1_ZMO0112,KEGG_pathway,-
270,ZMO1_ZMO0113,KEGG_pathway,map00790
280,ZMO1_ZMO0114,KEGG_pathway,map00400
281,ZMO1_ZMO0114,KEGG_pathway,map00405
282,ZMO1_ZMO0114,KEGG_pathway,map00790
283,ZMO1_ZMO0114,KEGG_pathway,map01100
284,ZMO1_ZMO0114,KEGG_pathway,map01110
285,ZMO1_ZMO0114,KEGG_pathway,map01130
286,ZMO1_ZMO0114,KEGG_pathway,map01230
287,ZMO1_ZMO0114,KEGG_pathway,map02024
288,ZMO1_ZMO0114,KEGG_pathway,map02025
298,ZMO1_ZMO0115,KEGG_pathway,map00270
299,ZMO1_ZMO0115,KEGG_pathway,map00280
300,ZMO1_ZMO0115,KEGG_pathway,map00290
301,ZMO1_ZMO0115,KEGG_pathway,map00770
302,ZMO1_ZMO0115,KEGG_pathway,map01100
303,ZMO1_ZMO0115,KEGG_pathway,map01110
304,ZMO1_ZMO0115,KEGG_pathway,map01130
305,ZMO1_ZMO0115,KEGG_pathway,map01210
306,ZMO1_ZMO0115,KEGG_pathway,map01230
307,ZMO1_ZMO0116,KEGG_pathway,-
309,ZMO1_ZMO0117,KEGG_pathway,map00910
310,ZMO1_ZMO0119,KEGG_pathway,-
313,ZMO1_ZMO0120,KEGG_pathway,map00240
314,ZMO1_ZMO0120,KEGG_pathway,map01100
315,ZMO1_ZMO0121,KEGG_pathway,-
316,ZMO1_ZMO0124,KEGG_pathway,-
317,ZMO1_ZMO0125,KEGG_pathway,-
318,ZMO1_ZMO0127,KEGG_pathway,-
319,ZMO1_ZMO0128,KEGG_pathway,-
323,ZMO1_ZMO0130,KEGG_pathway,map00740
324,ZMO1_ZMO0130,KEGG_pathway,map01100
325,ZMO1_ZMO0130,KEGG_pathway,map02020
326,ZMO1_ZMO0131,KEGG_pathway,-
327,ZMO1_ZMO0132,KEGG_pathway,-
328,ZMO1_ZMO0133,KEGG_pathway,-
329,ZMO1_ZMO2040,KEGG_pathway,-
330,ZMO1_ZMO2041,KEGG_pathway,-
331,ZMO1_ZMO0134,KEGG_pathway,-
332,ZMO1_ZMO0135,KEGG_pathway,-
333,ZMO1_ZMO0136,KEGG_pathway,-
334,ZMO1_ZMO0139,KEGG_pathway,-
335,ZMO1_ZMO0140,KEGG_pathway,-
336,ZMO1_ZMO0142,KEGG_pathway,-
337,ZMO1_ZMO0143,KEGG_pathway,-
341,ZMO1_ZMO0144,KEGG_pathway,map00250
342,ZMO1_ZMO0144,KEGG_pathway,map00760
343,ZMO1_ZMO0144,KEGG_pathway,map01100
344,ZMO1_ZMO0145,KEGG_pathway,-
345,ZMO1_ZMO0148,KEGG_pathway,-
346,ZMO1_ZMO0149,KEGG_pathway,-
347,ZMO1_ZMO0150,KEGG_pathway,-
362,ZMO1_ZMO0152,KEGG_pathway,map00010
363,ZMO1_ZMO0152,KEGG_pathway,map00230
364,ZMO1_ZMO0152,KEGG_pathway,map00620
365,ZMO1_ZMO0152,KEGG_pathway,map01100
366,ZMO1_ZMO0152,KEGG_pathway,map01110
367,ZMO1_ZMO0152,KEGG_pathway,map01120
368,ZMO1_ZMO0152,KEGG_pathway,map01130
369,ZMO1_ZMO0152,KEGG_pathway,map01200
370,ZMO1_ZMO0152,KEGG_pathway,map01230
371,ZMO1_ZMO0152,KEGG_pathway,map04922
372,ZMO1_ZMO0152,KEGG_pathway,map04930
373,ZMO1_ZMO0152,KEGG_pathway,map05165
374,ZMO1_ZMO0152,KEGG_pathway,map05203
375,ZMO1_ZMO0152,KEGG_pathway,map05230
376,ZMO1_ZMO2043,KEGG_pathway,-
377,ZMO1_ZMO0153,KEGG_pathway,-
379,ZMO1_ZMO0154,KEGG_pathway,map03440
381,ZMO1_ZMO0155,KEGG_pathway,map03440
382,ZMO1_ZMO0156,KEGG_pathway,-
383,ZMO1_ZMO0157,KEGG_pathway,-
385,ZMO1_ZMO0158,KEGG_pathway,map03440
386,ZMO1_ZMO0160,KEGG_pathway,-
388,ZMO1_ZMO0161,KEGG_pathway,map01120
389,ZMO1_ZMO0162,KEGG_pathway,-
390,ZMO1_ZMO0164,KEGG_pathway,-
391,ZMO1_ZMO0165,KEGG_pathway,-
392,ZMO1_ZMO0166,KEGG_pathway,-
393,ZMO1_ZMO2000,KEGG_pathway,-
394,ZMO1_ZMO0169,KEGG_pathway,-
395,ZMO1_ZMO2044,KEGG_pathway,-
398,ZMO1_ZMO0172,KEGG_pathway,map00730
399,ZMO1_ZMO0172,KEGG_pathway,map01100
400,ZMO1_ZMO0173,KEGG_pathway,-
401,ZMO1_ZMO0174,KEGG_pathway,-
411,ZMO1_ZMO0176,KEGG_pathway,map00030
412,ZMO1_ZMO0176,KEGG_pathway,map00710
413,ZMO1_ZMO0176,KEGG_pathway,map01051
414,ZMO1_ZMO0176,KEGG_pathway,map01100
415,ZMO1_ZMO0176,KEGG_pathway,map01110
416,ZMO1_ZMO0176,KEGG_pathway,map01120
417,ZMO1_ZMO0176,KEGG_pathway,map01130
418,ZMO1_ZMO0176,KEGG_pathway,map01200
419,ZMO1_ZMO0176,KEGG_pathway,map01230
430,ZMO1_ZMO0177,KEGG_pathway,map00010
431,ZMO1_ZMO0177,KEGG_pathway,map00710
432,ZMO1_ZMO0177,KEGG_pathway,map01100
433,ZMO1_ZMO0177,KEGG_pathway,map01110
434,ZMO1_ZMO0177,KEGG_pathway,map01120
435,ZMO1_ZMO0177,KEGG_pathway,map01130
436,ZMO1_ZMO0177,KEGG_pathway,map01200
437,ZMO1_ZMO0177,KEGG_pathway,map01230
438,ZMO1_ZMO0177,KEGG_pathway,map04066
439,ZMO1_ZMO0177,KEGG_pathway,map05010
448,ZMO1_ZMO0178,KEGG_pathway,map00010
449,ZMO1_ZMO0178,KEGG_pathway,map00710
450,ZMO1_ZMO0178,KEGG_pathway,map01100
451,ZMO1_ZMO0178,KEGG_pathway,map01110
452,ZMO1_ZMO0178,KEGG_pathway,map01120
453,ZMO1_ZMO0178,KEGG_pathway,map01130
454,ZMO1_ZMO0178,KEGG_pathway,map01200
455,ZMO1_ZMO0178,KEGG_pathway,map01230
467,ZMO1_ZMO0179,KEGG_pathway,map00010
468,ZMO1_ZMO0179,KEGG_pathway,map00030
469,ZMO1_ZMO0179,KEGG_pathway,map00051
470,ZMO1_ZMO0179,KEGG_pathway,map00680
471,ZMO1_ZMO0179,KEGG_pathway,map00710
472,ZMO1_ZMO0179,KEGG_pathway,map01100
473,ZMO1_ZMO0179,KEGG_pathway,map01110
474,ZMO1_ZMO0179,KEGG_pathway,map01120
475,ZMO1_ZMO0179,KEGG_pathway,map01130
476,ZMO1_ZMO0179,KEGG_pathway,map01200
477,ZMO1_ZMO0179,KEGG_pathway,map01230
482,ZMO1_ZMO0180,KEGG_pathway,map00900
483,ZMO1_ZMO0180,KEGG_pathway,map01100
484,ZMO1_ZMO0180,KEGG_pathway,map01110
485,ZMO1_ZMO0180,KEGG_pathway,map01130
488,ZMO1_ZMO0182,KEGG_pathway,map00270
489,ZMO1_ZMO0182,KEGG_pathway,map01100
490,ZMO1_ZMO0183,KEGG_pathway,-
492,ZMO1_ZMO0186,KEGG_pathway,map00970
499,ZMO1_ZMO0187,KEGG_pathway,map00400
500,ZMO1_ZMO0187,KEGG_pathway,map01100
501,ZMO1_ZMO0187,KEGG_pathway,map01110
502,ZMO1_ZMO0187,KEGG_pathway,map01130
503,ZMO1_ZMO0187,KEGG_pathway,map01230
504,ZMO1_ZMO0187,KEGG_pathway,map02024
505,ZMO1_ZMO0188,KEGG_pathway,-
513,ZMO1_ZMO0189,KEGG_pathway,map00260
514,ZMO1_ZMO0189,KEGG_pathway,map00270
515,ZMO1_ZMO0189,KEGG_pathway,map01100
516,ZMO1_ZMO0189,KEGG_pathway,map01110
517,ZMO1_ZMO0189,KEGG_pathway,map01130
518,ZMO1_ZMO0189,KEGG_pathway,map01200
519,ZMO1_ZMO0189,KEGG_pathway,map01230
520,ZMO1_ZMO0190,KEGG_pathway,-
521,ZMO1_ZMO0191,KEGG_pathway,-
522,ZMO1_ZMO0192,KEGG_pathway,-
524,ZMO1_ZMO0193,KEGG_pathway,map03018
526,ZMO1_ZMO0195,KEGG_pathway,map01503
530,ZMO1_ZMO0197,KEGG_pathway,map00550
531,ZMO1_ZMO0197,KEGG_pathway,map01100
532,ZMO1_ZMO0197,KEGG_pathway,map01501
533,ZMO1_ZMO0198,KEGG_pathway,-
534,ZMO1_ZMO0199,KEGG_pathway,-
540,ZMO1_ZMO0200,KEGG_pathway,map00400
541,ZMO1_ZMO0200,KEGG_pathway,map01100
542,ZMO1_ZMO0200,KEGG_pathway,map01110
543,ZMO1_ZMO0200,KEGG_pathway,map01130
544,ZMO1_ZMO0200,KEGG_pathway,map01230
554,ZMO1_ZMO0201,KEGG_pathway,map00400
555,ZMO1_ZMO0201,KEGG_pathway,map00405
556,ZMO1_ZMO0201,KEGG_pathway,map00790
557,ZMO1_ZMO0201,KEGG_pathway,map01100
558,ZMO1_ZMO0201,KEGG_pathway,map01110
559,ZMO1_ZMO0201,KEGG_pathway,map01130
560,ZMO1_ZMO0201,KEGG_pathway,map01230
561,ZMO1_ZMO0201,KEGG_pathway,map02024
562,ZMO1_ZMO0201,KEGG_pathway,map02025
565,ZMO1_ZMO0202,KEGG_pathway,map02020
566,ZMO1_ZMO0202,KEGG_pathway,map02030
567,ZMO1_ZMO0203,KEGG_pathway,-
568,ZMO1_ZMO0204,KEGG_pathway,-
569,ZMO1_ZMO0205,KEGG_pathway,-
575,ZMO1_ZMO0206,KEGG_pathway,map00330
576,ZMO1_ZMO0206,KEGG_pathway,map00332
577,ZMO1_ZMO0206,KEGG_pathway,map01100
578,ZMO1_ZMO0206,KEGG_pathway,map01130
579,ZMO1_ZMO0206,KEGG_pathway,map01230
580,ZMO1_ZMO0207,KEGG_pathway,-
581,ZMO1_ZMO0208,KEGG_pathway,-
583,ZMO1_ZMO0209,KEGG_pathway,map03010
585,ZMO1_ZMO0211,KEGG_pathway,map03010
586,ZMO1_ZMO0213,KEGG_pathway,-
587,ZMO1_ZMO0214,KEGG_pathway,-
590,ZMO1_ZMO0215,KEGG_pathway,map00670
591,ZMO1_ZMO0215,KEGG_pathway,map01100
592,ZMO1_ZMO0216,KEGG_pathway,-
593,ZMO1_ZMO0219,KEGG_pathway,-
594,ZMO1_ZMO0220,KEGG_pathway,-
595,ZMO1_ZMO0221,KEGG_pathway,-
596,ZMO1_ZMO0222,KEGG_pathway,-
597,ZMO1_ZMO0223,KEGG_pathway,-
598,ZMO1_ZMO0224,KEGG_pathway,-
602,ZMO1_ZMO0225,KEGG_pathway,map00270
603,ZMO1_ZMO0225,KEGG_pathway,map01100
604,ZMO1_ZMO0225,KEGG_pathway,map01130
605,ZMO1_ZMO0226,KEGG_pathway,-
613,ZMO1_ZMO0227,KEGG_pathway,map00230
614,ZMO1_ZMO0227,KEGG_pathway,map00240
615,ZMO1_ZMO0227,KEGG_pathway,map01100
616,ZMO1_ZMO0227,KEGG_pathway,map03030
617,ZMO1_ZMO0227,KEGG_pathway,map03410
618,ZMO1_ZMO0227,KEGG_pathway,map03420
619,ZMO1_ZMO0227,KEGG_pathway,map03440
620,ZMO1_ZMO0228,KEGG_pathway,-
622,ZMO1_ZMO0229,KEGG_pathway,map02010
624,ZMO1_ZMO0230,KEGG_pathway,map02010
625,ZMO1_ZMO0231,KEGG_pathway,-
626,ZMO1_ZMO0232,KEGG_pathway,-
627,ZMO1_ZMO0233,KEGG_pathway,-
630,ZMO1_ZMO0234,KEGG_pathway,map01503
631,ZMO1_ZMO0234,KEGG_pathway,map02020
632,ZMO1_ZMO0236,KEGG_pathway,-
636,ZMO1_ZMO0238,KEGG_pathway,map00190
637,ZMO1_ZMO0238,KEGG_pathway,map00195
638,ZMO1_ZMO0238,KEGG_pathway,map01100
642,ZMO1_ZMO0239,KEGG_pathway,map00190
643,ZMO1_ZMO0239,KEGG_pathway,map00195
644,ZMO1_ZMO0239,KEGG_pathway,map01100
648,ZMO1_ZMO0240,KEGG_pathway,map00190
649,ZMO1_ZMO0240,KEGG_pathway,map00195
650,ZMO1_ZMO0240,KEGG_pathway,map01100
654,ZMO1_ZMO0241,KEGG_pathway,map00190
655,ZMO1_ZMO0241,KEGG_pathway,map00195
656,ZMO1_ZMO0241,KEGG_pathway,map01100
660,ZMO1_ZMO0242,KEGG_pathway,map00190
661,ZMO1_ZMO0242,KEGG_pathway,map00195
662,ZMO1_ZMO0242,KEGG_pathway,map01100
663,ZMO1_ZMO0243,KEGG_pathway,-
664,ZMO1_ZMO0244,KEGG_pathway,-
665,ZMO1_ZMO0246,KEGG_pathway,-
666,ZMO1_ZMO0247,KEGG_pathway,-
668,ZMO1_ZMO0249,KEGG_pathway,map03010
671,ZMO1_ZMO0250,KEGG_pathway,map02020
672,ZMO1_ZMO0250,KEGG_pathway,map04112
673,ZMO1_ZMO0251,KEGG_pathway,-
674,ZMO1_ZMO0252,KEGG_pathway,-
675,ZMO1_ZMO0253,KEGG_pathway,-
677,ZMO1_ZMO0254,KEGG_pathway,map02010
678,ZMO1_ZMO0255,KEGG_pathway,-
681,ZMO1_ZMO0256,KEGG_pathway,map00620
682,ZMO1_ZMO0256,KEGG_pathway,map01120
683,ZMO1_ZMO0257,KEGG_pathway,-
684,ZMO1_ZMO0258,KEGG_pathway,-
686,ZMO1_ZMO0260,KEGG_pathway,map02010
688,ZMO1_ZMO0262,KEGG_pathway,map02010
689,ZMO1_ZMO0263,KEGG_pathway,-
690,ZMO1_ZMO0264,KEGG_pathway,-
691,ZMO1_ZMO0265,KEGG_pathway,-
692,ZMO1_ZMO0266,KEGG_pathway,-
693,ZMO1_ZMO0267,KEGG_pathway,-
694,ZMO1_ZMO0268,KEGG_pathway,-
695,ZMO1_ZMO0269,KEGG_pathway,-
696,ZMO1_ZMO0270,KEGG_pathway,-
697,ZMO1_ZMO0271,KEGG_pathway,-
702,ZMO1_ZMO0273,KEGG_pathway,map00270
703,ZMO1_ZMO0273,KEGG_pathway,map01100
704,ZMO1_ZMO0273,KEGG_pathway,map01110
705,ZMO1_ZMO0273,KEGG_pathway,map01230
708,ZMO1_ZMO0274,KEGG_pathway,map02020
709,ZMO1_ZMO0274,KEGG_pathway,map05111
711,ZMO1_ZMO0275,KEGG_pathway,map02010
712,ZMO1_ZMO0276,KEGG_pathway,-
713,ZMO1_ZMO0277,KEGG_pathway,-
714,ZMO1_ZMO0278,KEGG_pathway,-
715,ZMO1_ZMO0279,KEGG_pathway,-
716,ZMO1_ZMO0281,KEGG_pathway,-
719,ZMO1_ZMO0282,KEGG_pathway,map01501
720,ZMO1_ZMO0282,KEGG_pathway,map01503
723,ZMO1_ZMO0283,KEGG_pathway,map01501
724,ZMO1_ZMO0283,KEGG_pathway,map01503
727,ZMO1_ZMO0285,KEGG_pathway,map01501
728,ZMO1_ZMO0285,KEGG_pathway,map02024
729,ZMO1_ZMO0286,KEGG_pathway,-
730,ZMO1_ZMO0287,KEGG_pathway,-
731,ZMO1_ZMO0290,KEGG_pathway,-
732,ZMO1_ZMO0291,KEGG_pathway,-
733,ZMO1_ZMO0293,KEGG_pathway,-
735,ZMO1_ZMO0294,KEGG_pathway,map03010
736,ZMO1_ZMO0296,KEGG_pathway,-
737,ZMO1_ZMO0297,KEGG_pathway,-
738,ZMO1_ZMO0298,KEGG_pathway,-
743,ZMO1_ZMO0299,KEGG_pathway,map00230
744,ZMO1_ZMO0299,KEGG_pathway,map01100
745,ZMO1_ZMO0299,KEGG_pathway,map01110
746,ZMO1_ZMO0299,KEGG_pathway,map01130
748,ZMO1_ZMO0300,KEGG_pathway,map03430
749,ZMO1_ZMO0301,KEGG_pathway,-
750,ZMO1_ZMO0302,KEGG_pathway,-
754,ZMO1_ZMO0303,KEGG_pathway,map00860
755,ZMO1_ZMO0303,KEGG_pathway,map01100
756,ZMO1_ZMO0303,KEGG_pathway,map01110
757,ZMO1_ZMO0305,KEGG_pathway,-
758,ZMO1_ZMO0306,KEGG_pathway,-
759,ZMO1_ZMO0307,KEGG_pathway,-
760,ZMO1_ZMO0309,KEGG_pathway,-
766,ZMO1_ZMO0311,KEGG_pathway,map00330
767,ZMO1_ZMO0311,KEGG_pathway,map01100
768,ZMO1_ZMO0311,KEGG_pathway,map01110
769,ZMO1_ZMO0311,KEGG_pathway,map01130
770,ZMO1_ZMO0311,KEGG_pathway,map01230
772,ZMO1_ZMO0312,KEGG_pathway,map00360
773,ZMO1_ZMO0313,KEGG_pathway,-
776,ZMO1_ZMO0314,KEGG_pathway,map00564
777,ZMO1_ZMO0314,KEGG_pathway,map01100
778,ZMO1_ZMO0315,KEGG_pathway,-
780,ZMO1_ZMO0318,KEGG_pathway,map00650
781,ZMO1_ZMO0319,KEGG_pathway,-
786,ZMO1_ZMO0321,KEGG_pathway,map00670
787,ZMO1_ZMO0321,KEGG_pathway,map00790
788,ZMO1_ZMO0321,KEGG_pathway,map01100
789,ZMO1_ZMO0321,KEGG_pathway,map01523
793,ZMO1_ZMO0322,KEGG_pathway,map00740
794,ZMO1_ZMO0322,KEGG_pathway,map01100
795,ZMO1_ZMO0322,KEGG_pathway,map01110
797,ZMO1_ZMO0323,KEGG_pathway,map00970
799,ZMO1_ZMO0324,KEGG_pathway,map03060
800,ZMO1_ZMO0325,KEGG_pathway,-
803,ZMO1_ZMO0326,KEGG_pathway,map00790
804,ZMO1_ZMO0326,KEGG_pathway,map01100
810,ZMO1_ZMO0327,KEGG_pathway,map00270
811,ZMO1_ZMO0327,KEGG_pathway,map00450
812,ZMO1_ZMO0327,KEGG_pathway,map01100
813,ZMO1_ZMO0327,KEGG_pathway,map01110
814,ZMO1_ZMO0327,KEGG_pathway,map01230
815,ZMO1_ZMO0328,KEGG_pathway,-
820,ZMO1_ZMO0329,KEGG_pathway,map00521
821,ZMO1_ZMO0329,KEGG_pathway,map00562
822,ZMO1_ZMO0329,KEGG_pathway,map01100
823,ZMO1_ZMO0329,KEGG_pathway,map04070
824,ZMO1_ZMO0331,KEGG_pathway,-
827,ZMO1_ZMO0332,KEGG_pathway,map00730
828,ZMO1_ZMO0332,KEGG_pathway,map01100
829,ZMO1_ZMO0335,KEGG_pathway,-
830,ZMO1_ZMO0336,KEGG_pathway,-
836,ZMO1_ZMO0339,KEGG_pathway,map00051
837,ZMO1_ZMO0339,KEGG_pathway,map00520
838,ZMO1_ZMO0339,KEGG_pathway,map01100
839,ZMO1_ZMO0339,KEGG_pathway,map01110
840,ZMO1_ZMO0339,KEGG_pathway,map01130
841,ZMO1_ZMO0341,KEGG_pathway,-
857,ZMO1_ZMO0342,KEGG_pathway,map00220
858,ZMO1_ZMO0342,KEGG_pathway,map00250
859,ZMO1_ZMO0342,KEGG_pathway,map00270
860,ZMO1_ZMO0342,KEGG_pathway,map00330
861,ZMO1_ZMO0342,KEGG_pathway,map00350
862,ZMO1_ZMO0342,KEGG_pathway,map00360
863,ZMO1_ZMO0342,KEGG_pathway,map00400
864,ZMO1_ZMO0342,KEGG_pathway,map00401
865,ZMO1_ZMO0342,KEGG_pathway,map00950
