ZCP4_1095	b1ef55bb3b5b6163bd8315b59010e34f	1593	ProSiteProfiles	PS50842	Expansin, family-45 endoglucanase-like domain profile.	1264	1339	8.637726	T	29-11-2024	IPR007112	Expansin/pollen allergen, DPBB domain	-	MetaCyc:PWY-6788
ZCP4_1142	9211cdb3a7bee9f7302bbb015f0a4b0e	765	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	40	-	T	29-11-2024	-	-	-	-
ZCP4_1142	9211cdb3a7bee9f7302bbb015f0a4b0e	765	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1142	9211cdb3a7bee9f7302bbb015f0a4b0e	765	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	16	20	-	T	29-11-2024	-	-	-	-
ZCP4_1087	d5950ff151fc1dc178386a0141e397d9	510	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	42	-	T	29-11-2024	-	-	-	-
ZCP4_1107	6a5083267ffd266d8066e78272cb3c8b	705	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	22	-	T	29-11-2024	-	-	-	-
ZCP4_1107	6a5083267ffd266d8066e78272cb3c8b	705	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	32	-	T	29-11-2024	-	-	-	-
ZCP4_1137	76bb24bdd58b88794d7298a3a2869b7a	381	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1137	76bb24bdd58b88794d7298a3a2869b7a	381	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	26	-	T	29-11-2024	-	-	-	-
ZCP4_1137	76bb24bdd58b88794d7298a3a2869b7a	381	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	23	-	T	29-11-2024	-	-	-	-
ZCP4_1056	48f8bb1ee2ccd937401a9edd063c0c20	918	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	34	-	T	29-11-2024	-	-	-	-
ZCP4_1056	48f8bb1ee2ccd937401a9edd063c0c20	918	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	33	-	T	29-11-2024	-	-	-	-
ZCP4_1056	48f8bb1ee2ccd937401a9edd063c0c20	918	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	16	33	-	T	29-11-2024	-	-	-	-
ZCP4_1056	48f8bb1ee2ccd937401a9edd063c0c20	918	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	4	15	-	T	29-11-2024	-	-	-	-
ZCP4_1056	48f8bb1ee2ccd937401a9edd063c0c20	918	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	3	-	T	29-11-2024	-	-	-	-
ZCP4_1056	48f8bb1ee2ccd937401a9edd063c0c20	918	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	35	-	T	29-11-2024	-	-	-	-
ZCP4_1056	48f8bb1ee2ccd937401a9edd063c0c20	918	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1056	48f8bb1ee2ccd937401a9edd063c0c20	918	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	34	918	-	T	29-11-2024	-	-	-	-
ZCP4_1122	001c2106f2c88c511d414cb0cfc3a255	1638	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	23	-	T	29-11-2024	-	-	-	-
ZCP4_1141	dc83432381196c284205bddd2b94d417	1008	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	52	-	T	29-11-2024	-	-	-	-
ZCP4_1140	353470aced30ea31eda4b6ba898c6819	222	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	19	-	T	29-11-2024	-	-	-	-
ZCP4_1140	353470aced30ea31eda4b6ba898c6819	222	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	17	-	T	29-11-2024	-	-	-	-
ZCP4_1070	2af19bfe8349686068466dd1b45e4123	282	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	23	-	T	29-11-2024	-	-	-	-
ZCP4_1070	2af19bfe8349686068466dd1b45e4123	282	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	23	-	T	29-11-2024	-	-	-	-
ZCP4_1070	2af19bfe8349686068466dd1b45e4123	282	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	31	-	T	29-11-2024	-	-	-	-
ZCP4_1109	3fccb646d61518033d5e0fc28e12a78a	945	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	33	-	T	29-11-2024	-	-	-	-
ZCP4_1109	3fccb646d61518033d5e0fc28e12a78a	945	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	33	-	T	29-11-2024	-	-	-	-
ZCP4_1108	ee2681cc6dd0b301296a33f9e0e3ee70	819	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1078	268b024bbac3894d69c014f33c2c3fdc	1377	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1053	68c12e0229255d951a80aa429cf08de5	2739	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	16	21	-	T	29-11-2024	-	-	-	-
ZCP4_1053	68c12e0229255d951a80aa429cf08de5	2739	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	22	2739	-	T	29-11-2024	-	-	-	-
ZCP4_1053	68c12e0229255d951a80aa429cf08de5	2739	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1053	68c12e0229255d951a80aa429cf08de5	2739	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	4	15	-	T	29-11-2024	-	-	-	-
ZCP4_1053	68c12e0229255d951a80aa429cf08de5	2739	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1053	68c12e0229255d951a80aa429cf08de5	2739	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1053	68c12e0229255d951a80aa429cf08de5	2739	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	3	-	T	29-11-2024	-	-	-	-
ZCP4_1053	68c12e0229255d951a80aa429cf08de5	2739	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1098	0e50f76488340e1849220c2f88fffcd1	480	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	43	-	T	29-11-2024	-	-	-	-
ZCP4_1098	0e50f76488340e1849220c2f88fffcd1	480	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	19	-	T	29-11-2024	-	-	-	-
ZCP4_1138	bbfcae33fd8dd3ca9a4d4ecf25b29621	1269	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	28	-	T	29-11-2024	-	-	-	-
ZCP4_1100	49bd2eac5804e08471d4a3d2889201f7	684	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	41	-	T	29-11-2024	-	-	-	-
ZCP4_1100	49bd2eac5804e08471d4a3d2889201f7	684	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	51	-	T	29-11-2024	-	-	-	-
ZCP4_1048	11dd3595a9bae68ca09fd8d17c10f700	2580	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	30	-	T	29-11-2024	-	-	-	-
ZCP4_1048	11dd3595a9bae68ca09fd8d17c10f700	2580	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	30	-	T	29-11-2024	-	-	-	-
ZCP4_1123	ecb7bf7e4ebf5b8a2aa43eed38ad5af8	438	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	17	-	T	29-11-2024	-	-	-	-
ZCP4_1123	ecb7bf7e4ebf5b8a2aa43eed38ad5af8	438	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1123	ecb7bf7e4ebf5b8a2aa43eed38ad5af8	438	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	29	-	T	29-11-2024	-	-	-	-
ZCP4_1061	8f0242dbe8930ea27bbff0f64e027d59	1551	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1061	8f0242dbe8930ea27bbff0f64e027d59	1551	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	22	-	T	29-11-2024	-	-	-	-
ZCP4_1061	8f0242dbe8930ea27bbff0f64e027d59	1551	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1134	285532f4525bb28256b3b586c283092e	1455	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	31	-	T	29-11-2024	-	-	-	-
ZCP4_1134	285532f4525bb28256b3b586c283092e	1455	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	33	-	T	29-11-2024	-	-	-	-
ZCP4_1134	285532f4525bb28256b3b586c283092e	1455	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	34	1455	-	T	29-11-2024	-	-	-	-
ZCP4_1134	285532f4525bb28256b3b586c283092e	1455	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	16	33	-	T	29-11-2024	-	-	-	-
ZCP4_1134	285532f4525bb28256b3b586c283092e	1455	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	4	15	-	T	29-11-2024	-	-	-	-
ZCP4_1134	285532f4525bb28256b3b586c283092e	1455	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	3	-	T	29-11-2024	-	-	-	-
ZCP4_1134	285532f4525bb28256b3b586c283092e	1455	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1134	285532f4525bb28256b3b586c283092e	1455	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	19	-	T	29-11-2024	-	-	-	-
ZCP4_1046	84ddc59f18ae6b06b80b760b2581bac4	654	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	18	-	T	29-11-2024	-	-	-	-
ZCP4_1046	84ddc59f18ae6b06b80b760b2581bac4	654	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	43	-	T	29-11-2024	-	-	-	-
ZCP4_1132	fc86156630a5bb85afc86a6481b4af09	810	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1132	fc86156630a5bb85afc86a6481b4af09	810	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1132	fc86156630a5bb85afc86a6481b4af09	810	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1106	a42506a32f4e5c15c196619a406ebb39	1368	ProSitePatterns	PS00269	Mammalian defensins signature.	45	74	-	T	29-11-2024	IPR006081	Alpha-defensin, C-terminal	GO:0005576(InterPro)|GO:0006952(InterPro)	Reactome:R-HSA-1461973|Reactome:R-HSA-1462054|Reactome:R-HSA-6798695|Reactome:R-MMU-1461973|Reactome:R-MMU-1462054|Reactome:R-MMU-6798695|Reactome:R-RNO-1461973|Reactome:R-RNO-1462054|Reactome:R-RNO-6798695
ZCP4_1106	a42506a32f4e5c15c196619a406ebb39	1368	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	35	-	T	29-11-2024	-	-	-	-
ZCP4_1089	ee3c1e175bfa263bc0bc0d70d361da69	240	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	26	-	T	29-11-2024	-	-	-	-
ZCP4_1135	e1ab5ae6a1d4623bf742af21f53392dd	1563	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1094	6d6c2e3f0eb040c96916c5da4e49f5a0	1674	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	27	-	T	29-11-2024	-	-	-	-
ZCP4_1148	9c4dbbe94e2b606575fa643de3bc182f	270	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	18	-	T	29-11-2024	-	-	-	-
ZCP4_1148	9c4dbbe94e2b606575fa643de3bc182f	270	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	28	-	T	29-11-2024	-	-	-	-
ZCP4_1148	9c4dbbe94e2b606575fa643de3bc182f	270	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1130	b6dc1630db2a909c266bedfd245e5bc4	231	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1130	b6dc1630db2a909c266bedfd245e5bc4	231	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	6	17	-	T	29-11-2024	-	-	-	-
ZCP4_1130	b6dc1630db2a909c266bedfd245e5bc4	231	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	32	-	T	29-11-2024	-	-	-	-
ZCP4_1130	b6dc1630db2a909c266bedfd245e5bc4	231	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	26	-	T	29-11-2024	-	-	-	-
ZCP4_1130	b6dc1630db2a909c266bedfd245e5bc4	231	PRINTS	PR00833	Pollen allergen Poa pI signature	21	38	1.6E-5	T	29-11-2024	-	-	-	-
ZCP4_1130	b6dc1630db2a909c266bedfd245e5bc4	231	PRINTS	PR00833	Pollen allergen Poa pI signature	115	129	1.6E-5	T	29-11-2024	-	-	-	-
ZCP4_1130	b6dc1630db2a909c266bedfd245e5bc4	231	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	26	-	T	29-11-2024	-	-	-	-
ZCP4_1130	b6dc1630db2a909c266bedfd245e5bc4	231	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	18	26	-	T	29-11-2024	-	-	-	-
ZCP4_1130	b6dc1630db2a909c266bedfd245e5bc4	231	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	5	-	T	29-11-2024	-	-	-	-
ZCP4_1130	b6dc1630db2a909c266bedfd245e5bc4	231	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	27	231	-	T	29-11-2024	-	-	-	-
ZCP4_1124	2b0afda229005095ee511d1366d2102b	837	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	47	-	T	29-11-2024	-	-	-	-
ZCP4_1092	2a06d39f68c5781300142eebd3c9e0f0	696	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	33	-	T	29-11-2024	-	-	-	-
ZCP4_1092	2a06d39f68c5781300142eebd3c9e0f0	696	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	22	-	T	29-11-2024	-	-	-	-
ZCP4_1074	895e6446cb7088578b59822212f6550e	1815	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1074	895e6446cb7088578b59822212f6550e	1815	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	22	-	T	29-11-2024	-	-	-	-
ZCP4_1103	f0cbaf21eb5c9198f624323e9b9a2ed6	702	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	48	-	T	29-11-2024	-	-	-	-
ZCP4_1133	6c3cb01b7ea64511296f1725e4564fd7	579	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	23	-	T	29-11-2024	-	-	-	-
ZCP4_1085	60dbc5a4cf640cca8ac502bd7a7f72c4	363	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	32	-	T	29-11-2024	-	-	-	-
ZCP4_1085	60dbc5a4cf640cca8ac502bd7a7f72c4	363	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	32	-	T	29-11-2024	-	-	-	-
ZCP4_1060	cc92b44b88a7ae2dcd74582ea6bb745a	1329	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	50	-	T	29-11-2024	-	-	-	-
ZCP4_1090	e1446b4b61fc0dc84e0b3734e3f485ad	1428	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1090	e1446b4b61fc0dc84e0b3734e3f485ad	1428	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1111	f8ba0ef8ed6f6b806495d6a1b79dd623	2493	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	24	-	T	29-11-2024	-	-	-	-
ZCP4_1057	433d803a2de7d18731b6b77d566bd3f5	1362	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	30	-	T	29-11-2024	-	-	-	-
ZCP4_1067	5d13fe358c3b7e8522d139183d485d3e	1194	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1076	ce12942e93056e0e37167c5dd3003747	1128	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	32	-	T	29-11-2024	-	-	-	-
ZCP4_1076	ce12942e93056e0e37167c5dd3003747	1128	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	32	-	T	29-11-2024	-	-	-	-
ZCP4_1076	ce12942e93056e0e37167c5dd3003747	1128	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1126	505383e290845bbd9caa83084157a234	1464	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	22	-	T	29-11-2024	-	-	-	-
ZCP4_1126	505383e290845bbd9caa83084157a234	1464	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	37	-	T	29-11-2024	-	-	-	-
ZCP4_1126	505383e290845bbd9caa83084157a234	1464	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	37	-	T	29-11-2024	-	-	-	-
ZCP4_1072	72cf0a3a217542bda84295983d98a507	402	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1088	7fb214d159e87633a8ef58ab04a55e4c	750	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	17	-	T	29-11-2024	-	-	-	-
ZCP4_1088	7fb214d159e87633a8ef58ab04a55e4c	750	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1088	7fb214d159e87633a8ef58ab04a55e4c	750	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1145	65bec89b163121253291c3ec4b71d01c	483	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	39	-	T	29-11-2024	-	-	-	-
ZCP4_1145	65bec89b163121253291c3ec4b71d01c	483	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	27	-	T	29-11-2024	-	-	-	-
ZCP4_1145	65bec89b163121253291c3ec4b71d01c	483	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	27	-	T	29-11-2024	-	-	-	-
ZCP4_1144	def7f433b85e2791a719e964bb72bce2	705	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	37	-	T	29-11-2024	-	-	-	-
ZCP4_1144	def7f433b85e2791a719e964bb72bce2	705	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	19	-	T	29-11-2024	-	-	-	-
ZCP4_1144	def7f433b85e2791a719e964bb72bce2	705	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	30	-	T	29-11-2024	-	-	-	-
ZCP4_1065	f4d0332361e2f2fb5c6d15412f9aa3d1	1134	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	29	-	T	29-11-2024	-	-	-	-
ZCP4_1065	f4d0332361e2f2fb5c6d15412f9aa3d1	1134	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	39	-	T	29-11-2024	-	-	-	-
ZCP4_1136	8ca372dd6fd035b81663a887a490dad5	1065	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	49	-	T	29-11-2024	-	-	-	-
ZCP4_1147	857a04c4a1a6f4aae01c2ee619fb05b2	1314	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	36	-	T	29-11-2024	-	-	-	-
ZCP4_1147	857a04c4a1a6f4aae01c2ee619fb05b2	1314	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	37	-	T	29-11-2024	-	-	-	-
ZCP4_1147	857a04c4a1a6f4aae01c2ee619fb05b2	1314	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	34	-	T	29-11-2024	-	-	-	-
ZCP4_1075	e3e6358753857a642bb752ee3e4945b3	2391	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	23	-	T	29-11-2024	-	-	-	-
ZCP4_1102	38977bfe49586eaf0ab10d2cb1182e62	474	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1120	2a8c13e2a20d7ddb8a24d442923672b4	1068	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1120	2a8c13e2a20d7ddb8a24d442923672b4	1068	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	26	1068	-	T	29-11-2024	-	-	-	-
ZCP4_1120	2a8c13e2a20d7ddb8a24d442923672b4	1068	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1120	2a8c13e2a20d7ddb8a24d442923672b4	1068	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	18	25	-	T	29-11-2024	-	-	-	-
ZCP4_1120	2a8c13e2a20d7ddb8a24d442923672b4	1068	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	3	-	T	29-11-2024	-	-	-	-
ZCP4_1120	2a8c13e2a20d7ddb8a24d442923672b4	1068	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1120	2a8c13e2a20d7ddb8a24d442923672b4	1068	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	4	17	-	T	29-11-2024	-	-	-	-
ZCP4_1120	2a8c13e2a20d7ddb8a24d442923672b4	1068	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1139	b6c672e4ecc8f21b6a4b6ee5e61fd2ed	552	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1139	b6c672e4ecc8f21b6a4b6ee5e61fd2ed	552	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	19	-	T	29-11-2024	-	-	-	-
ZCP4_1097	9c448fda6b0c87f15a9009b3ef05a611	699	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1097	9c448fda6b0c87f15a9009b3ef05a611	699	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	46	-	T	29-11-2024	-	-	-	-
ZCP4_1097	9c448fda6b0c87f15a9009b3ef05a611	699	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	40	-	T	29-11-2024	-	-	-	-
ZCP4_1054	11d0acbeda55b0b52c14da2eace0de04	1359	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	25	-	T	29-11-2024	-	-	-	-
ZCP4_1121	6fc6301fb8ae432a62903be01a63b155	1167	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	21	-	T	29-11-2024	-	-	-	-
